"","Gene","log2FoldChange","padj","Day_treatment","Treatment","Pairwise","Uniprot","Gene_terms_EC"
"1","PGEN_.00g001350",3.52971001984865,0.013015311460006,"Day14","Primary","AvM","Q9U943","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]"
"2","PGEN_.00g003940",3.95229011117436,0.0203208208201128,"Day14","Primary","AvM","Q2PFX5","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)"
"3","PGEN_.00g005400",2.60797101292425,0.0290506901592288,"Day14","Primary","AvM",NA,NA
"4","PGEN_.00g005530",4.21297290710833,0.028841872630114,"Day14","Primary","AvM","Q61361","Brevican core protein"
"5","PGEN_.00g007040",5.06178401644022,0.00322479421654548,"Day14","Primary","AvM","P86854","Perlucin-like protein"
"6","PGEN_.00g007100",2.58049591236746,0.0112507087956205,"Day14","Primary","AvM","Q7SYV0","Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS)"
"7","PGEN_.00g007180",5.79360438208357,0.00153032581048647,"Day14","Primary","AvM",NA,NA
"8","PGEN_.00g009930",5.15156375252807,0.0061805594250748,"Day14","Primary","AvM","Q5G266","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)"
"9","PGEN_.00g009970",3.18508508057331,0.0144391499336391,"Day14","Primary","AvM","Q9BYK8","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)"
"10","PGEN_.00g010140",5.08095268424947,0.0440965068692894,"Day14","Primary","AvM",NA,NA
"11","PGEN_.00g010440",-2.50582971927175,0.00102876257446143,"Day14","Primary","AvM",NA,NA
"12","PGEN_.00g012750",4.61280725582406,0.0100492255504069,"Day14","Primary","AvM",NA,NA
"13","PGEN_.00g013170",9.22743492624118,0.000387740952637661,"Day14","Primary","AvM","Q9DGJ3","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"14","PGEN_.00g014020",2.79087915024616,0.0144892244120689,"Day14","Primary","AvM","O95861","3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP)"
"15","PGEN_.00g014740",6.02178232103869,0.000818580252371404,"Day14","Primary","AvM","P61917","NPC intracellular cholesterol transporter 2 (EPI-1) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"16","PGEN_.00g015880",-0.873110291701467,0.0237812597114817,"Day14","Primary","AvM","Q9NRC6","Spectrin beta chain, non-erythrocytic 5 (Beta-V spectrin)"
"17","PGEN_.00g017110",-1.8756351114293,0.00153442042777554,"Day14","Primary","AvM","P97481","Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha)"
"18","PGEN_.00g018560",6.47198272699409,0.00808643583952978,"Day14","Primary","AvM",NA,NA
"19","PGEN_.00g018570",7.01893207805439,0.00383628326434131,"Day14","Primary","AvM","Q5XII0","Mammalian ependymin-related protein 1 (MERP-1)"
"20","PGEN_.00g019450",3.85456191821706,0.00454952712207519,"Day14","Primary","AvM","Q9DGJ3","NPC intracellular cholesterol transporter 2 (16.5 kDa secretory protein) (Epididymal secretory protein E1) (Niemann Pick type C2 protein homolog)"
"21","PGEN_.00g020160",3.4384406566115,0.00547424084813061,"Day14","Primary","AvM","A8TX70","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)"
"22","PGEN_.00g021830",1.47193287600516,0.0440965068692894,"Day14","Primary","AvM","Q8CGC7","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]"
"23","PGEN_.00g023050",3.48767856457907,0.00915209434631962,"Day14","Primary","AvM",NA,NA
"24","PGEN_.00g023670",2.46193031487702,0.0424198060022633,"Day14","Primary","AvM","D2IYS2","Tyrosine-protein kinase receptor torso (EC 2.7.10.1)"
"25","PGEN_.00g024970",4.44576629390343,0.019999164057004,"Day14","Primary","AvM",NA,NA
"26","PGEN_.00g025020",2.64432185529061,0.0477379551863723,"Day14","Primary","AvM",NA,NA
"27","PGEN_.00g025030",2.34941417551461,0.0181181930958312,"Day14","Primary","AvM","Q8VHS2","Protein crumbs homolog 1"
"28","PGEN_.00g026050",5.92015831526412,0.000836875933228376,"Day14","Primary","AvM",NA,NA
"29","PGEN_.00g026070",6.3191592819713,0.00118432038932342,"Day14","Primary","AvM",NA,NA
