"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105317113","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105317113","60S ribosomal protein L10a"
"2","crg:105317506","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105317506","40S ribosomal protein S11"
"3","crg:105317654","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105317654","60S ribosomal protein L9"
"4","crg:105318277","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105318277","WD repeat-containing protein 3"
"5","crg:105318421","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105318421","39S ribosomal protein L16, mitochondrial"
"6","crg:105318541","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105318541","60S ribosomal protein L21"
"7","crg:105318560","crg03008","Ribosome biogenesis in eukaryotes","105318277/105318560/105321565/105323847/105327885/105329502/105338454/105341403/105341713/105342694/105346016/105348653/105319368/105323586/105326651/105329551/105332140/105340192/105343450/105344975/105347334/105347537",22,"105318560","RNA-binding protein 28"
"8","crg:105318789","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105318789","40S ribosomal protein S26"
"9","crg:105318855","crg04141","Protein processing in endoplasmic reticulum","105318855/105325010/105325178/105328208/105328488/105328588/105328795/105328826/105331513/105332313/105333774/105340425/105340656/105341221/105341763/105319522/105319990/105322320/105327783/105329658/105330973/105331081/105331600/105333050/105334865/105335023/105336785/105337540/105337929/105339236/105339435/105341388/105342784/105345701/105346081/105346349/105346689/105347543",38,"105318855","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B"
"10","crg:105319021","crg03010","Ribosome","105317113/105317506/105317654/105318421/105318541/105319021/105319617/105319797/105320386/105321589/105323810/105323832/105323890/105323905/105324073/105324356/105324694/105324897/105325238/105325290/105325786/105326418/105327405/105331823/105332495/105334649/105335803/105335841/105335873/105337115/105337988/105338085/105339104/105342603/105344628/105321751/105332191/105348141/105348430/105347800/105318789/105319364/105319573/105320864/105321315/105321862/105323647/105325638/105327930/105329912/105330605/105332844/105338035/105338604/105338952/105340032/105341326/105344646/105347733/105348890/105333469/105336674",62,"105319021","60S ribosomal protein L15"
"11","crg:105319167","crg03050","Proteasome","105319167/105319530/105322349/105322526/105336919/105338413/105341026/105341348/105320967/105327391/105328897/105329081/105329473/105330688/105332852/105332983/105337951/105342563/105343419",19,"105319167","proteasome subunit alpha type-2"
