"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g022820","Day7","P36975","Synaptosomal-associated protein 25 ",2
"2","PGEN_.00g022820","Day21","P36975","Synaptosomal-associated protein 25 ",2
"3","PGEN_.00g149140","Day7","Q16932","Syntaxin",2
"4","PGEN_.00g149140","Day21","Q16932","Syntaxin",2
"5","PGEN_.00g006210","Day21","Q86Y82","Syntaxin-12",1
"6","PGEN_.00g012190","Day14","P62743","AP-2 complex subunit sigma ",1
"7","PGEN_.00g013560","Day21","Q08DB5","Syntaxin-5",1
"8","PGEN_.00g035110","Day21","Q96AJ9","Vesicle transport through interaction with t-SNAREs homolog 1A ",1
"9","PGEN_.00g036040","Day21","P70280","Vesicle-associated membrane protein 7 ",1
"10","PGEN_.00g082970","Day7","Q5ZL74","Vesicle-associated membrane protein 7 ",1
"11","PGEN_.00g162260","Day14","P17427","AP-2 complex subunit alpha-2 ",1
"12","PGEN_.00g185010","Day21","Q8BVI5","Syntaxin-16",1
"13","PGEN_.00g343270","Day14","P54939","Talin-1",1
