"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g006490","Day7","Q9HAY6","Beta,beta-carotene 15,15'-dioxygenase ",2
"2","PGEN_.00g006490","Day14","Q9HAY6","Beta,beta-carotene 15,15'-dioxygenase ",2
"3","PGEN_.00g039290","Day7","Q91XV4","L-xylulose reductase ",2
"4","PGEN_.00g039290","Day14","Q91XV4","L-xylulose reductase ",2
"5","PGEN_.00g040690","Day7","Q920P0","L-xylulose reductase ",2
"6","PGEN_.00g040690","Day14","Q920P0","L-xylulose reductase ",2
"7","PGEN_.00g048930","Day7","P79896","Alcohol dehydrogenase class-3 ",2
"8","PGEN_.00g048930","Day14","P79896","Alcohol dehydrogenase class-3 ",2
"9","PGEN_.00g049360","Day14","Q4AEH3","Glutathione peroxidase 3 ",2
"10","PGEN_.00g049360","Day7","Q4AEH3","Glutathione peroxidase 3 ",2
"11","PGEN_.00g057660","Day7","Q61425","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial ",2
"12","PGEN_.00g057660","Day14","Q61425","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial ",2
"13","PGEN_.00g069180","Day7","Q6NYL3","Peroxisomal bifunctional enzyme ",2
"14","PGEN_.00g069180","Day14","Q6NYL3","Peroxisomal bifunctional enzyme ",2
"15","PGEN_.00g116940","Day7","G9JJU2","Glutathione peroxidase ",2
"16","PGEN_.00g116940","Day14","G9JJU2","Glutathione peroxidase ",2
"17","PGEN_.00g121900","Day14","Q27567","Glycerol-3-phosphate dehydrogenase [NAD",2
"18","PGEN_.00g121900","Day7","Q27567","Glycerol-3-phosphate dehydrogenase [NAD",2
"19","PGEN_.00g121940","Day7","Q27567","Glycerol-3-phosphate dehydrogenase [NAD",2
"20","PGEN_.00g121940","Day14","Q27567","Glycerol-3-phosphate dehydrogenase [NAD",2
"21","PGEN_.00g135600","Day7","O15254","Peroxisomal acyl-coenzyme A oxidase 3 ",2
"22","PGEN_.00g135600","Day14","O15254","Peroxisomal acyl-coenzyme A oxidase 3 ",2
"23","PGEN_.00g176480","Day14","P08684","Cytochrome P450 3A4 ",2
"24","PGEN_.00g176480","Day7","P08684","Cytochrome P450 3A4 ",2
"25","PGEN_.00g199660","Day21","Q8JG64","Protein disulfide-isomerase A3 ",2
"26","PGEN_.00g199660","Day14","Q8JG64","Protein disulfide-isomerase A3 ",2
"27","PGEN_.00g297980","Day21","Q63081","Protein disulfide-isomerase A6 ",2
"28","PGEN_.00g297980","Day14","Q63081","Protein disulfide-isomerase A6 ",2
"29","PGEN_.00g300030","Day7","Q9Z1N0","Peroxisomal acyl-coenzyme A oxidase 1 ",2
"30","PGEN_.00g300030","Day14","Q9Z1N0","Peroxisomal acyl-coenzyme A oxidase 1 ",2
"31","PGEN_.00g311290","Day7","A6QP15","Hydroxyacid-oxoacid transhydrogenase, mitochondrial ",2
