"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g032150","Day14","O88738","Baculoviral IAP repeat-containing protein 6 ",1
"2","PGEN_.00g044180","Day14","Q68FD7","Folliculin-interacting protein 1",1
"3","PGEN_.00g044430","Day14","Q5W4S4","Folliculin-interacting protein 1",1
"4","PGEN_.00g050300","Day7","O55173","3-phosphoinositide-dependent protein kinase 1 ",1
"5","PGEN_.00g052840","Day14","A2ASQ1","Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment ",1
"6","PGEN_.00g057310","Day14","P82968","Four-domain proteases inhibitor ",1
"7","PGEN_.00g057320","Day14","P82968","Four-domain proteases inhibitor ",1
"8","PGEN_.00g071610","Day14","Q24306","Death-associated inhibitor of apoptosis 1 ",1
"9","PGEN_.00g086610","Day14","Q6YHK3","CD109 antigen ",1
"10","PGEN_.00g086660","Day14","Q6YHK3","CD109 antigen ",1
"11","PGEN_.00g091350","Day14","Q6YHK3","CD109 antigen ",1
"12","PGEN_.00g091370","Day14","Q6YHK3","CD109 antigen ",1
"13","PGEN_.00g093840","Day14","A8K2U0","Alpha-2-macroglobulin-like protein 1 ",1
"14","PGEN_.00g117980","Day14","P81439","Equistatin",1
"15","PGEN_.00g122460","Day21","Q0V8K7","SH3 domain-binding protein 5-like ",1
"16","PGEN_.00g134900","Day14","P05616","Ovomucoid ",1
"17","PGEN_.00g209070","Day21","Q66H61","Glutamine--tRNA ligase ",1
"18","PGEN_.00g214890","Day14","Q5RB37","Inter-alpha-trypsin inhibitor heavy chain H3 ",1
"19","PGEN_.00g223410","Day14","Q6YHK3","CD109 antigen ",1
"20","PGEN_.00g246390","Day14","Q8IZJ3","C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8",1
"21","PGEN_.00g246530","Day14","Q8IZJ3","C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8",1
"22","PGEN_.00g287180","Day14","P05560","Ovomucoid ",1
"23","PGEN_.00g288090","Day14","Q9EP53","Hamartin ",1
"24","PGEN_.00g323970","Day14","O70280","WAP four-disulfide core domain protein 1 ",1
"25","PGEN_.00g327850","Day7","Q60648","Ganglioside GM2 activator ",1
