"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g013860","Day7","P33527","Multidrug resistance-associated protein 1 ",1
"2","PGEN_.00g027620","Day7","Q5RCS8","V-type proton ATPase subunit D ",1
"3","PGEN_.00g034470","Day7","Q8CF82","ATP-binding cassette sub-family A member 5",1
"4","PGEN_.00g034480","Day7","Q8K448","ATP-binding cassette sub-family A member 5",1
"5","PGEN_.00g046580","Day14","Q9HBG4","V-type proton ATPase 116 kDa subunit a isoform 4 ",1
"6","PGEN_.00g080200","Day14","Q03105","V-type proton ATPase 16 kDa proteolipid subunit ",1
"7","PGEN_.00g110490","Day21","Q90632","Monocarboxylate transporter 3 ",1
"8","PGEN_.00g111730","Day14","P31404","V-type proton ATPase catalytic subunit A ",1
"9","PGEN_.00g112100","Day21","P53988","Monocarboxylate transporter 2 ",1
"10","PGEN_.00g117940","Day14","Q99571","P2X purinoceptor 4 ",1
"11","PGEN_.00g142770","Day14","Q99571","P2X purinoceptor 4 ",1
"12","PGEN_.00g166190","Day14","Q9U5N1","V-type proton ATPase subunit C ",1
"13","PGEN_.00g232000","Day7","Q9QYM0","Multidrug resistance-associated protein 5 ",1
"14","PGEN_.00g289780","Day14","P91303","Probable V-type proton ATPase subunit G ",1
"15","PGEN_.00g298820","Day14","Q9V3J1","V-type proton ATPase subunit H ",1
"16","PGEN_.00g318960","Day7","P08183","ATP-dependent translocase ABCB1 ",1
"17","PGEN_.00g348580","Day7","B2RX12","Canalicular multispecific organic anion transporter 2 ",1
