"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g329150","Day14","Q6PDN3","Myosin light chain kinase, smooth muscle ",2
"2","PGEN_.00g329150","Day21","Q6PDN3","Myosin light chain kinase, smooth muscle ",2
"3","PGEN_.00g006160","Day14","Q96Q15","Serine/threonine-protein kinase SMG1 ",1
"4","PGEN_.00g017180","Day14","P51955","Serine/threonine-protein kinase Nek2 ",1
"5","PGEN_.00g017830","Day7","Q16975","Calcium-independent protein kinase C ",1
"6","PGEN_.00g018750","Day14","O75582","Ribosomal protein S6 kinase alpha-5 ",1
"7","PGEN_.00g018970","Day7","Q9WTQ1","Serine/threonine-protein kinase D1 ",1
"8","PGEN_.00g033340","Day14","P92208","Stress-activated protein kinase JNK ",1
"9","PGEN_.00g076010","Day14","Q64127","Transcription intermediary factor 1-alpha ",1
"10","PGEN_.00g165780","Day21","Q9Y259","Choline/ethanolamine kinase ",1
"11","PGEN_.00g165790","Day21","Q9Y259","Choline/ethanolamine kinase ",1
"12","PGEN_.00g178110","Day14","Q5RJI4","Extracellular tyrosine-protein kinase PKDCC ",1
"13","PGEN_.00g180380","Day14","Q5F361","TBC domain-containing protein kinase-like protein",1
"14","PGEN_.00g184290","Day14","P97477","Aurora kinase A ",1
"15","PGEN_.00g197080","Day14","P53355","Death-associated protein kinase 1 ",1
"16","PGEN_.00g207910","Day14","Q8IPH9","Slowpoke-binding protein",1
"17","PGEN_.00g216500","Day14","P50750","Cyclin-dependent kinase 9 ",1
"18","PGEN_.00g329130","Day21","Q28824","Myosin light chain kinase, smooth muscle ",1
"19","PGEN_.00g331050","Day14","O35274","Neurabin-2 ",1
"20","PGEN_.00g337470","Day14","Q9LX30","eIF-2-alpha kinase GCN2 ",1
"21","PGEN_.00g341690","Day14","Q5S006","Leucine-rich repeat serine/threonine-protein kinase 2 ",1
