"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g322450","Day7","Q9BXM7","Serine/threonine-protein kinase PINK1, mitochondrial ",2
"2","PGEN_.00g322450","Day21","Q9BXM7","Serine/threonine-protein kinase PINK1, mitochondrial ",2
"3","PGEN_.00g001690","Day21","Q3U0J8","TBC1 domain family member 2B",1
"4","PGEN_.00g008380","Day21","Q501J7","Phosphatase and actin regulator 4 ",1
"5","PGEN_.00g008400","Day7","Q02977","Proto-oncogene tyrosine-protein kinase Yrk ",1
"6","PGEN_.00g011150","Day21","Q96L93","Kinesin-like protein KIF16B ",1
"7","PGEN_.00g036080","Day21","D3ZEN0","MICAL-like protein 2 ",1
"8","PGEN_.00g049540","Day7","Q923U0","TOM1-like protein 1 ",1
"9","PGEN_.00g051140","Day7","Q9Y484","WD repeat domain phosphoinositide-interacting protein 4 ",1
"10","PGEN_.00g055970","Day21","P63000","Ras-related C3 botulinum toxin substrate 1 ",1
"11","PGEN_.00g062250","Day21","Q925Q9","SH3 domain-containing kinase-binding protein 1 ",1
"12","PGEN_.00g062800","Day21","Q92738","USP6 N-terminal-like protein ",1
"13","PGEN_.00g067330","Day21","Q8TDW5","Synaptotagmin-like protein 5",1
"14","PGEN_.00g067360","Day21","Q8TDW5","Synaptotagmin-like protein 5",1
"15","PGEN_.00g071610","Day21","Q24306","Death-associated inhibitor of apoptosis 1 ",1
"16","PGEN_.00g074910","Day21","Q5FWK3","Rho GTPase-activating protein 1 ",1
"17","PGEN_.00g076780","Day21","Q5T5C0","Syntaxin-binding protein 5 ",1
"18","PGEN_.00g082680","Day21","O08623","Sequestosome-1 ",1
"19","PGEN_.00g086160","Day7","Q14094","Cyclin-I",1
"20","PGEN_.00g089290","Day7","Q4KLI9","F-box/WD repeat-containing protein 5 ",1
"21","PGEN_.00g093280","Day7","Q15262","Receptor-type tyrosine-protein phosphatase kappa ",1
"22","PGEN_.00g099510","Day7","O60879","Protein diaphanous homolog 2 ",1
"23","PGEN_.00g100700","Day21","O95714","E3 ubiquitin-protein ligase HERC2 ",1
"24","PGEN_.00g110930","Day7","Q9NZN5","Rho guanine nucleotide exchange factor 12 ",1
"25","PGEN_.00g115870","Day14","Q13873","Bone morphogenetic protein receptor type-2 ",1
"26","PGEN_.00g118300","Day21","Q8TD23","Zinc finger protein 675 ",1
"27","PGEN_.00g121110","Day21","Q13191","E3 ubiquitin-protein ligase CBL-B ",1
"28","PGEN_.00g131630","Day7","P11274","Breakpoint cluster region protein ",1
"29","PGEN_.00g140090","Day7","O08715","A-kinase anchor protein 1, mitochondrial ",1
"30","PGEN_.00g140230","Day7","Q5PQT2","Myotubularin-related protein 3 ",1
"31","PGEN_.00g155000","Day7","B5DF45","TNF receptor-associated factor 6 ",1
"32","PGEN_.00g161400","Day21","Q9XYM0","Adapter molecule Crk",1
"33","PGEN_.00g162330","Day21","Q24306","Death-associated inhibitor of apoptosis 1 ",1
"34","PGEN_.00g175380","Day21","Q8VBW6","NEDD8-activating enzyme E1 regulatory subunit ",1
"35","PGEN_.00g177960","Day21","Q60855","Receptor-interacting serine/threonine-protein kinase 1 ",1
"36","PGEN_.00g179710","Day21","O75096","Low-density lipoprotein receptor-related protein 4 ",1
"37","PGEN_.00g181010","Day21","Q96EP0","E3 ubiquitin-protein ligase RNF31 ",1
"38","PGEN_.00g181830","Day7","A0A1D5P556","Disheveled-associated activator of morphogenesis 2",1
"39","PGEN_.00g195300","Day7","P46940","Ras GTPase-activating-like protein IQGAP1 ",1
"40","PGEN_.00g195980","Day7","P46940","Ras GTPase-activating-like protein IQGAP1 ",1
"41","PGEN_.00g196920","Day14","P50904","Ras GTPase-activating protein 1 ",1
"42","PGEN_.00g213610","Day14","Q9UKG1","DCC-interacting protein 13-alpha ",1
