"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g011050","Day7","P61244","Protein max ",2
"2","PGEN_.00g011050","Day21","P61244","Protein max ",2
"3","PGEN_.00g017990","Day7","Q9YIB9","Hypoxia-inducible factor 1-alpha ",2
"4","PGEN_.00g017990","Day21","Q9YIB9","Hypoxia-inducible factor 1-alpha ",2
"5","PGEN_.00g019730","Day7","Q9UIU6","Homeobox protein SIX4 ",2
"6","PGEN_.00g019730","Day21","Q9UIU6","Homeobox protein SIX4 ",2
"7","PGEN_.00g031670","Day7","Q4LE39","AT-rich interactive domain-containing protein 4B ",2
"8","PGEN_.00g031670","Day21","Q4LE39","AT-rich interactive domain-containing protein 4B ",2
"9","PGEN_.00g048130","Day7","Q9BW27","Nuclear pore complex protein Nup85 ",2
"10","PGEN_.00g048130","Day21","Q9BW27","Nuclear pore complex protein Nup85 ",2
"11","PGEN_.00g103860","Day7","Q9Z2F6","B-cell lymphoma 3 protein homolog ",2
"12","PGEN_.00g103860","Day21","Q9Z2F6","B-cell lymphoma 3 protein homolog ",2
"13","PGEN_.00g104030","Day21","P20749","B-cell lymphoma 3 protein ",2
"14","PGEN_.00g104030","Day7","P20749","B-cell lymphoma 3 protein ",2
"15","PGEN_.00g183420","Day7","Q6AXR4","Beta-hexosaminidase subunit beta ",2
"16","PGEN_.00g183420","Day21","Q6AXR4","Beta-hexosaminidase subunit beta ",2
"17","PGEN_.00g189340","Day7","Q9NPA8","Transcription and mRNA export factor ENY2 ",2
"18","PGEN_.00g189340","Day21","Q9NPA8","Transcription and mRNA export factor ENY2 ",2
"19","PGEN_.00g202790","Day21","Q99MY8","Histone-lysine N-methyltransferase ASH1L ",2
"20","PGEN_.00g202790","Day7","Q99MY8","Histone-lysine N-methyltransferase ASH1L ",2
"21","PGEN_.00g232090","Day21","Q63406","Guanine nucleotide exchange factor DBS ",2
"22","PGEN_.00g232090","Day7","Q63406","Guanine nucleotide exchange factor DBS ",2
"23","PGEN_.00g244000","Day21","O95786","Antiviral innate immune response receptor RIG-I ",2
"24","PGEN_.00g244000","Day7","O95786","Antiviral innate immune response receptor RIG-I ",2
"25","PGEN_.00g316700","Day21","O15162","Phospholipid scramblase 1 ",2
"26","PGEN_.00g316700","Day7","O15162","Phospholipid scramblase 1 ",2
"27","PGEN_.00g329270","Day21","Q90ZK6","Activin receptor type-1 ",2
"28","PGEN_.00g329270","Day7","Q90ZK6","Activin receptor type-1 ",2
"29","PGEN_.00g003130","Day21","Q5U2T6","Zinc finger protein PLAG1 ",1
"30","PGEN_.00g003300","Day21","Q13029","PR domain zinc finger protein 2 ",1
"31","PGEN_.00g006290","Day7","Q9BYK8","Helicase with zinc finger domain 2 ",1
"32","PGEN_.00g007090","Day21","Q29RL9","Transcription elongation factor A protein 1 ",1
"33","PGEN_.00g007330","Day21","Q08AN1","Zinc finger protein 616",1
"34","PGEN_.00g010610","Day21","O75581","Low-density lipoprotein receptor-related protein 6 ",1
"35","PGEN_.00g014620","Day7","Q9ULG1","Chromatin-remodeling ATPase INO80 ",1
"36","PGEN_.00g017130","Day21","Q3U1U7","Aryl hydrocarbon receptor repressor ",1
"37","PGEN_.00g017350","Day21","P41894","Helix-loop-helix protein delilah ",1
"38","PGEN_.00g018860","Day7","Q1JQE0","SNW domain-containing protein 1 ",1
"39","PGEN_.00g019670","Day14","Q9D6N5","Dr1-associated corepressor ",1
"40","PGEN_.00g023690","Day21","Q90751","Bone morphogenetic protein 2 ",1
"41","PGEN_.00g033990","Day21","P07207","Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]",1
"42","PGEN_.00g034140","Day21","Q90596","Transcription factor MafK",1
"43","PGEN_.00g034960","Day21","P82094","TATA element modulatory factor ",1
"44","PGEN_.00g036410","Day14","Q9D4J7","PHD finger protein 6",1
"45","PGEN_.00g043700","Day21","Q5REI6","Zinc finger protein 791",1
"46","PGEN_.00g046190","Day21","Q9NYT6","Zinc finger protein 226",1
"47","PGEN_.00g048200","Day14","Q96EB6","NAD-dependent protein deacetylase sirtuin-1 ",1
"48","PGEN_.00g049750","Day21","Q99020","Heterogeneous nuclear ribonucleoprotein A/B ",1
"49","PGEN_.00g056570","Day7","P36894","Bone morphogenetic protein receptor type-1A ",1
"50","PGEN_.00g057630","Day21","Q1RNF8","Sterile alpha motif domain-containing protein 11 ",1
"51","PGEN_.00g063140","Day7","P11029","Acetyl-CoA carboxylase ",1
"52","PGEN_.00g064910","Day14","Q921E6","Polycomb protein EED",1
"53","PGEN_.00g068100","Day7","Q5ZK88","Paraspeckle component 1",1
"54","PGEN_.00g069780","Day21","B0FPE9","NACHT, LRR and PYD domains-containing protein 3",1
