"","Gene_IDs","Day","Uniprot","gene","count"
"1","PGEN_.00g012860","Day21","Q03017","NF-kappa-B inhibitor cactus",1
"2","PGEN_.00g015860","Day14","P52655","Transcription initiation factor IIA subunit 1 ",1
"3","PGEN_.00g018860","Day7","Q1JQE0","SNW domain-containing protein 1 ",1
"4","PGEN_.00g081800","Day7","Q92793","CREB-binding protein ",1
"5","PGEN_.00g083640","Day7","Q13887","Krueppel-like factor 5 ",1
"6","PGEN_.00g113850","Day21","Q04861","Nuclear factor NF-kappa-B p105 subunit ",1
"7","PGEN_.00g146460","Day21","Q9QZR0","E3 ubiquitin-protein ligase RNF25 ",1
"8","PGEN_.00g147960","Day7","Q9H6U6","Breast carcinoma-amplified sequence 3 ",1
"9","PGEN_.00g162110","Day14","Q9BXC9","Bardet-Biedl syndrome 2 protein",1
"10","PGEN_.00g189530","Day7","A0JP85","CCR4-NOT transcription complex subunit 1 ",1
"11","PGEN_.00g225950","Day21","Q3V096","Ankyrin repeat domain-containing protein 42",1
