"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","Gene_terms"
"1","PGEN_.00g001920","lipid binding",0.0195099012026551,"GO:0001786","phosphatidylserine binding","MF","F-BAR domain only protein 2"
"2","PGEN_.00g013370","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Zinc finger protein 839 (Renal carcinoma antigen NY-REN-50)"
"3","PGEN_.00g022810","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)"
"4","PGEN_.00g026180","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Furin-1"
"5","PGEN_.00g030650","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Putative nuclease HARBI1"
"6","PGEN_.00g034140","DNA binding",0.0101626189323454,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Transcription factor MafK"
"7","PGEN_.00g034140","DNA binding",0.0185370995877985,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Transcription factor MafK"
"8","PGEN_.00g043410","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Lysosomal alpha-mannosidase (Laman)"
"9","PGEN_.00g045090","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)"
"10","PGEN_.00g047650","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)"
"11","PGEN_.00g056490","phosphatase activity",0.0116812627232783,"GO:0004721","phosphoprotein phosphatase activity","MF","Probable serine/threonine-protein kinase pats1"
"12","PGEN_.00g058530","lipid binding",0.0195099012026551,"GO:0001786","phosphatidylserine binding","MF","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]"
"13","PGEN_.00g063140","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Acetyl-CoA carboxylase (ACC)"
"14","PGEN_.00g063200","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","E3 ubiquitin-protein ligase XIAP"
"15","PGEN_.00g067330","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Synaptotagmin-like protein 5"
"16","PGEN_.00g083640","DNA binding",0.0101626189323454,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"17","PGEN_.00g083640","DNA-binding transcription factor ac...",0.042048810511793,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"18","PGEN_.00g083640","DNA binding",0.0185370995877985,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"19","PGEN_.00g083640","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2)"
"20","PGEN_.00g104080","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)"
"21","PGEN_.00g104170","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)"
"22","PGEN_.00g104810","DNA binding",0.0185370995877985,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Signal transducer and activator of transcription 5A"
"23","PGEN_.00g104810","DNA binding",0.0101626189323454,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Signal transducer and activator of transcription 5A"
"24","PGEN_.00g104810","DNA-binding transcription factor ac...",0.042048810511793,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Signal transducer and activator of transcription 5A"
"25","PGEN_.00g112690","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)"
"26","PGEN_.00g122260","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Zinc finger protein 486 (KRAB domain only protein 2)"
"27","PGEN_.00g127070","lipid binding",0.0195099012026551,"GO:0001786","phosphatidylserine binding","MF","Protein Aster-B (GRAM domain-containing protein 1B)"
"28","PGEN_.00g139380","phosphatase activity",0.0116812627232783,"GO:0004721","phosphoprotein phosphatase activity","MF","Protein phosphatase Slingshot homolog 2"
"29","PGEN_.00g140080","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Serine/threonine-protein kinase unc-51"
"30","PGEN_.00g141520","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Protein yippee-like 1"
"31","PGEN_.00g141950","phosphatase activity",0.0116812627232783,"GO:0004721","phosphoprotein phosphatase activity","MF","Probable serine/threonine-protein kinase pats1"
"32","PGEN_.00g155000","enzyme binding",0.0435018766528097,"GO:0031625","ubiquitin protein ligase binding","MF","TNF receptor-associated factor 6"
"33","PGEN_.00g160860","DNA-binding transcription factor ac...",0.042048810511793,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"34","PGEN_.00g160860","DNA binding",0.0185370995877985,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"35","PGEN_.00g160860","DNA binding",0.0101626189323454,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","ETS homologous factor (ETS domain-containing transcription factor)"
"36","PGEN_.00g164100","DNA-binding transcription factor ac...",0.042048810511793,"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"37","PGEN_.00g164100","DNA binding",0.0101626189323454,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"38","PGEN_.00g164100","DNA binding",0.0185370995877985,"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)"
"39","PGEN_.00g166530","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","MOB kinase activator 3B (Mob1 homolog 2b) (Mps one binder kinase activator-like 2B)"
"40","PGEN_.00g183190","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Protein tamozhennic"
"41","PGEN_.00g183210","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","E3 ubiquitin-protein ligase MYLIP"
"42","PGEN_.00g186060","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","PH domain leucine-rich repeat protein phosphatase 1"
"43","PGEN_.00g192440","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (GLUT-R) (Solute carrier family 1 member 2)"
"44","PGEN_.00g192790","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Zinc finger protein 79 (ZNFpT7)"
"45","PGEN_.00g220500","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Inhibitor of growth protein 3"
"46","PGEN_.00g223990","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","FYVE, RhoGEF and PH domain-containing protein 4 (Actin filament-binding protein frabin) (FGD1-related F-actin-binding protein) (Zinc finger FYVE domain-containing protein 6)"
"47","PGEN_.00g224070","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","FYVE, RhoGEF and PH domain-containing protein 4 (Actin filament-binding protein frabin) (FGD1-related F-actin-binding protein) (Zinc finger FYVE domain-containing protein 6)"
"48","PGEN_.00g233710","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Serine/threonine-protein kinase 24"
"49","PGEN_.00g234590","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","E3 ubiquitin-protein ligase rnf168"
"50","PGEN_.00g239070","enzyme binding",0.0435018766528097,"GO:0031625","ubiquitin protein ligase binding","MF","Probable ubiquitin carboxyl-terminal hydrolase FAF-X"
"51","PGEN_.00g244000","enzyme binding",0.0435018766528097,"GO:0031625","ubiquitin protein ligase binding","MF","Antiviral innate immune response receptor RIG-I (DEAD box protein 58) (Probable ATP-dependent RNA helicase DDX58)"
"52","PGEN_.00g249840","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Lateral signaling target protein 2 homolog"
"53","PGEN_.00g262720","ion binding",0.0349540308182456,"GO:0046872","metal ion binding","MF","Adenylate cyclase type 5"
"54","PGEN_.00g271820","DNA binding",0.0101626189323454,"GO:0000976","transcription regulatory region sequence-specific DNA binding","MF","SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)"
