"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318218","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105318218","V-type proton ATPase subunit d-like"
"2","crg:105318218","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105318218","V-type proton ATPase subunit d-like"
"3","crg:105318284","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105318284","ADP-ribosylation factor GTPase-activating protein 1 isoform X1"
"4","crg:105318650","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105318650","vacuolar protein sorting-associated protein 29"
"5","crg:105319353","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105319353","legumain-like"
"6","crg:105320076","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105320076","charged multivesicular body protein 2a-like"
"7","crg:105320698","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105320698","ganglioside GM2 activator"
"8","crg:105321566","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105321566","V-type proton ATPase 16 kDa proteolipid subunit-like"
"9","crg:105321566","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105321566","V-type proton ATPase 16 kDa proteolipid subunit-like"
"10","crg:105321678","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105321678","V-type proton ATPase catalytic subunit A"
"11","crg:105321895","crg00071","Fatty acid degradation","105341094/105336470/105346656/105335622/105326193/105321895/105339789",7,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like"
"12","crg:105322050","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105322050","WASH complex subunit SWIP"
"13","crg:105322237","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105322237","vacuolar segregation protein PEP7-like"
"14","crg:105322492","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105322492","integrin beta-1-B-like precursor"
"15","crg:105323775","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105323775","CD63 antigen"
"16","crg:105323790","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105323790","V-type proton ATPase 116 kDa subunit a isoform X1"
"17","crg:105323790","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105323790","V-type proton ATPase 116 kDa subunit a isoform X1"
"18","crg:105324179","crg04146","Peroxisome","105339056/105342001/105324552/105339902/105346656/105329358/105330227/105336995/105324179/105325181/105333701/105339789",12,"105324179","D-aspartate oxidase"
"19","crg:105324552","crg04146","Peroxisome","105339056/105342001/105324552/105339902/105346656/105329358/105330227/105336995/105324179/105325181/105333701/105339789",12,"105324552","peroxisomal membrane protein PMP34"
"20","crg:105325181","crg04146","Peroxisome","105339056/105342001/105324552/105339902/105346656/105329358/105330227/105336995/105324179/105325181/105333701/105339789",12,"105325181","2-hydroxyacyl-CoA lyase 1-like"
"21","crg:105325897","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105325897","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 isoform X5"
"22","crg:105326193","crg00071","Fatty acid degradation","105341094/105336470/105346656/105335622/105326193/105321895/105339789",7,"105326193","4-trimethylaminobutyraldehyde dehydrogenase"
"23","crg:105327432","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105327432","LOW QUALITY PROTEIN: WAS protein family homolog 1-like"
"24","crg:105328916","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105328916","cathepsin B"
"25","crg:105328970","crg04144","Endocytosis","105318284/105342074/105347356/105347197/105320076/105344087/105325897/105318650/105340059/105342245/105333224/105335021/105322050/105327432/105332531/105342535/105322237/105342992/105328970/105342463",20,"105328970","ADP-ribosylation factor 2"
"26","crg:105328999","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105328999","V-type proton ATPase subunit B"
"27","crg:105329358","crg04146","Peroxisome","105339056/105342001/105324552/105339902/105346656/105329358/105330227/105336995/105324179/105325181/105333701/105339789",12,"105329358","peroxisomal membrane protein 2"
"28","crg:105329422","crg04142","Lysosome","105340690/105319353/105347059/105323790/105329422/105321566/105348190/105340059/105318218/105340323/105338718/105334333/105328916/105338347/105341804/105342463/105344064/105320698/105323775/105331760",20,"105329422","lysosome membrane protein 2-like"
"29","crg:105330227","crg04146","Peroxisome","105339056/105342001/105324552/105339902/105346656/105329358/105330227/105336995/105324179/105325181/105333701/105339789",12,"105330227","isocitrate dehydrogenase [NADP] cytoplasmic"
"30","crg:105331760","crg04145","Phagosome","105336770/105323790/105321566/105321678/105344224/105318218/105332531/105338718/105328999/105322492/105345691/105331760",12,"105331760","cathepsin L1-like"
