"","substanceBXH","geneSymbol","moduleColor","Uniprot","HGNC","GO.terms","GO.description","GS.taocTAOC","p.GS.taocTAOC","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.green","p.MM.green","MM.yellow","p.MM.yellow","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.turquoise","p.MM.turquoise","MM.red","p.MM.red"
"PGEN_.00g164540","PGEN_.00g164540","PGEN_.00g164540","green","Q16820","MEP1B_HUMAN","GO:0004222; GO:0005576; GO:0005887; GO:0006954; GO:0008270; GO:0017090; GO:0042802; GO:1901998","extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; meprin A complex [GO:0017090]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; inflammatory response [GO:0006954]; toxin transport [GO:1901998]",-0.643366149500729,3.06251366602514e-05,0.688659475663595,4.80137060035098e-06,0.311578294432261,0.0684498635393174,0.852726913933639,7.88792993367268e-11,0.0867409503441912,0.62027180989667,-0.0903314264135628,0.605814765200439,0.501657069018285,0.00213897423800439,0.0383164553884978,0.827015585732286,-0.0505941923293356,0.772861740467594,-0.214697965941305,0.215513808609594
"PGEN_.00g164660","PGEN_.00g164660","PGEN_.00g164660","green","Q16820","MEP1B_HUMAN","GO:0004222; GO:0005576; GO:0005887; GO:0006954; GO:0008270; GO:0017090; GO:0042802; GO:1901998","extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; meprin A complex [GO:0017090]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; inflammatory response [GO:0006954]; toxin transport [GO:1901998]",-0.631801268892198,4.68919625077519e-05,0.738555789897214,4.08375404643703e-07,0.338697563459512,0.046563034402703,0.87466456359346,6.53543107580053e-12,0.109380571745256,0.531653252113359,-0.0751686466272407,0.667805812526342,0.471979916202273,0.00420286846374923,0.0288667989951388,0.869250806568945,-0.0641408252745242,0.71432142215153,-0.211543684556814,0.222494489412594
"PGEN_.00g158570","PGEN_.00g158570","PGEN_.00g158570","green",NA,NA,NA,NA,-0.576271621982527,0.000291329683266256,0.700480609727697,2.80127562028174e-06,0.294878674323035,0.0854976162263715,0.879808268923013,3.40609046730434e-12,0.10677310962269,0.54153949641285,-0.0369620529676413,0.833042717665524,0.552819760429496,0.000573412357112367,-0.0402711775901359,0.81833420455802,-0.153568783808882,0.378441783029268,-0.104292391571802,0.551025676283132
"PGEN_.00g164550","PGEN_.00g164550","PGEN_.00g164550","green","Q64230","MEP1A_RAT","GO:0004222; GO:0006508; GO:0008270; GO:0016020; GO:0017090","membrane [GO:0016020]; meprin A complex [GO:0017090]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]",-0.575575508755463,0.000297464078423722,0.851057600432045,9.37686495824978e-11,0.441282252105509,0.00796396596865336,0.881072553196529,2.8888069045169e-12,0.194009247351249,0.264104805058915,-0.0276330033538377,0.874794197476654,0.345348716916869,0.0421632749896607,0.0429283329323412,0.806567326009448,-0.0492438735877846,0.778771194818786,-0.158699744852371,0.362520899259347
"PGEN_.00g164650","PGEN_.00g164650","PGEN_.00g164650","green","Q64230","MEP1A_RAT","GO:0004222; GO:0006508; GO:0008270; GO:0016020; GO:0017090","membrane [GO:0016020]; meprin A complex [GO:0017090]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]",-0.573004523902676,0.00032113190076914,0.84995203611371,1.05024979667262e-10,0.440922032752721,0.00802123195472023,0.881147699744759,2.86049404641265e-12,0.192932087891024,0.266817382931724,-0.0271529339799147,0.876952728063796,0.346338918980616,0.0415379398196616,0.0433472103037482,0.804716114622969,-0.0490257562210979,0.779726905525577,-0.156702498926101,0.368669975180902
"PGEN_.00g057150","PGEN_.00g057150","PGEN_.00g057150","green","Q91XA9","CHIA_MOUSE","GO:0000272; GO:0001878; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0006955; GO:0008061; GO:0019900; GO:0052356; GO:0090197","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; kinase binding [GO:0019900]; apoptotic process [GO:0006915]; catabolism by host of symbiont cell wall chitin [GO:0052356]; chitin catabolic process [GO:0006032]; immune response [GO:0006955]; polysaccharide catabolic process [GO:0000272]; positive regulation of chemokine secretion [GO:0090197]; production of molecular mediator involved in inflammatory response [GO:0002532]; response to yeast [GO:0001878]",-0.568846650939623,0.000362975936297645,0.804505379710399,5.76722080607851e-09,0.477311890179802,0.00373876323746863,0.898249490789483,2.51336365154044e-13,0.342898931339885,0.0437430460119602,0.0547600794981282,0.754710734447625,0.524933077074131,0.00120549364902206,-0.0229492151086645,0.895889484293113,-0.108171617723927,0.536226157573759,0.0954315260769746,0.585530926830574
"PGEN_.00g312080","PGEN_.00g312080","PGEN_.00g312080","green","P08478","AMDA_XENLA","GO:0004504; GO:0004598; GO:0005507; GO:0006518; GO:0016021; GO:0030658","integral component of membrane [GO:0016021]; transport vesicle membrane [GO:0030658]; copper ion binding [GO:0005507]; peptidylamidoglycolate lyase activity [GO:0004598]; peptidylglycine monooxygenase activity [GO:0004504]; peptide metabolic process [GO:0006518]",-0.533549248619957,0.000964741345779788,0.909208066000739,4.16891016118729e-14,0.46060072259165,0.00536247792518952,0.862353028779438,2.78739529618208e-11,0.315376940696574,0.0649724605667286,-0.0083109671220634,0.962207639390232,0.284879958707766,0.097168735721494,-0.0243343789694743,0.889642880486894,-0.125160232542065,0.473749932042147,-0.151985956438544,0.383434729133882
"PGEN_.00g009930","PGEN_.00g009930","PGEN_.00g009930","green","Q5G266","NETR_TRAPH","GO:0004252; GO:0005044; GO:0005576; GO:0005886; GO:0006887; GO:0030424","axon [GO:0030424]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; scavenger receptor activity [GO:0005044]; serine-type endopeptidase activity [GO:0004252]; exocytosis [GO:0006887]",-0.533194571322863,0.000973743092180448,0.692463857323033,4.0480745538103e-06,0.295194935195942,0.085146940583061,0.942444359916403,2.90262335929349e-17,0.0671469276432812,0.701532411426689,-0.107189212796416,0.539955983627449,0.645148898702638,2.86335759697321e-05,-0.00224466073193891,0.989789504265773,-0.0946547668258936,0.588600724365718,-0.221324378023255,0.201342803954305
"PGEN_.00g279590","PGEN_.00g279590","PGEN_.00g279590","green","Q8SPI0","APOD_MACFA","GO:0000302; GO:0005615; GO:0005783; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0007568; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0042493; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405","cytosolic ribosome [GO:0022626]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; cholesterol binding [GO:0015485]; aging [GO:0007568]; brain development [GO:0007420]; glucose metabolic process [GO:0006006]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of lipoprotein lipid oxidation [GO:0060588]; negative regulation of monocyte chemotactic protein-1 production [GO:0071638]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of smooth muscle cell-matrix adhesion [GO:2000098]; negative regulation of T cell migration [GO:2000405]; peripheral nervous system axon regeneration [GO:0014012]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to reactive oxygen species [GO:0000302]; tissue regeneration [GO:0042246]",-0.533151522079595,0.000974840714659674,0.712359729279393,1.58740277185611e-06,0.323823607595573,0.0577381619966505,0.942098464407814,3.19595060130743e-17,0.0817281843264474,0.640691059759485,-0.128427030487618,0.462190771136697,0.628031324302439,5.36791969574628e-05,0.0667401793331953,0.703258242182882,-0.0560016469421791,0.749325566560047,-0.214756935862628,0.21538475310462
"PGEN_.00g344990","PGEN_.00g344990","PGEN_.00g344990","green","Q5G267","NETR_MACMU","GO:0004252; GO:0005044; GO:0005886; GO:0006887; GO:0030424; GO:0030425; GO:0031638; GO:0043083; GO:0043195","axon [GO:0030424]; dendrite [GO:0030425]; plasma membrane [GO:0005886]; synaptic cleft [GO:0043083]; terminal bouton [GO:0043195]; scavenger receptor activity [GO:0005044]; serine-type endopeptidase activity [GO:0004252]; exocytosis [GO:0006887]; zymogen activation [GO:0031638]",-0.532930860537818,0.000980484059881534,0.668801204243197,1.12462431698716e-05,0.244827317058759,0.156338747971215,0.90614568891166,7.04045099495042e-14,0.0688817361362905,0.694188196600659,-0.138611274027258,0.427138229628434,0.615906630597225,8.1943286596319e-05,0.00488362958986075,0.977787541580785,-0.120657127006544,0.489928740905356,-0.22369418073672,0.196435921219372
