"","substanceBXH","geneSymbol","moduleColor","Uniprot","HGNC","GO.terms","GO.description","GS.taocTAOC","p.GS.taocTAOC","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.green","p.MM.green","MM.yellow","p.MM.yellow","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.turquoise","p.MM.turquoise","MM.red","p.MM.red"
"PGEN_.00g224610","PGEN_.00g224610","PGEN_.00g224610","pink","Q9PU85","PIM3_COTJA","GO:0004674; GO:0005524; GO:0005737; GO:0043066","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; negative regulation of apoptotic process [GO:0043066]",-0.608816128352856,0.000104105343889852,0.886460936352201,1.40119275842097e-12,0.783200244955717,2.6777987074153e-08,0.58073036070766,0.000254644634405058,0.685936032683552,5.41686603946503e-06,0.284580841380973,0.0975356938272171,0.00834852276430361,0.962036985759031,0.227296828703508,0.189137375874204,0.194124354926563,0.263816009697427,-0.00654571389252303,0.970230721455534
"PGEN_.00g187310","PGEN_.00g187310","PGEN_.00g187310","pink","Q16822","PCKGM_HUMAN","GO:0004611; GO:0004613; GO:0005525; GO:0005623; GO:0005739; GO:0005759; GO:0005829; GO:0006090; GO:0006094; GO:0019543; GO:0030145; GO:0032869; GO:0033993; GO:0042594; GO:0046327; GO:0070365; GO:0071333; GO:0071549","cell [GO:0005623]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; phosphoenolpyruvate carboxykinase activity [GO:0004611]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; hepatocyte differentiation [GO:0070365]; propionate catabolic process [GO:0019543]; pyruvate metabolic process [GO:0006090]; response to lipid [GO:0033993]; response to starvation [GO:0042594]",-0.582872744082182,0.000238532914978324,0.960265351159087,7.33584164790707e-20,0.661256476707221,1.52869873128517e-05,0.703513083588624,2.42951378312543e-06,0.515488772982182,0.00152874225090735,0.15539989866368,0.372713521630129,0.05350530477053,0.760164765297463,0.0680849158290701,0.697558138676458,0.0230292123651081,0.89552855351719,-0.0454021217549799,0.795649815695622
"PGEN_.00g314920","PGEN_.00g314920","PGEN_.00g314920","pink","Q92539","LPIN2_HUMAN","GO:0003713; GO:0005634; GO:0005789; GO:0005829; GO:0006629; GO:0006646; GO:0006656; GO:0008195; GO:0009062; GO:0019432; GO:0032869; GO:0045944","cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; phosphatidate phosphatase activity [GO:0008195]; transcription coactivator activity [GO:0003713]; cellular response to insulin stimulus [GO:0032869]; fatty acid catabolic process [GO:0009062]; lipid metabolic process [GO:0006629]; phosphatidylcholine biosynthetic process [GO:0006656]; phosphatidylethanolamine biosynthetic process [GO:0006646]; positive regulation of transcription by RNA polymerase II [GO:0045944]; triglyceride biosynthetic process [GO:0019432]",-0.578848416936983,0.000269592570715844,0.887586532134477,1.19912629438084e-12,0.665479189463957,1.28874984080613e-05,0.617250690780188,7.8257018061033e-05,0.63815979417184,3.71798538770171e-05,0.0614162554014818,0.725979291508991,0.0836251764245191,0.632932159335797,0.123156365718139,0.480914630683198,0.088379078862437,0.613658085390736,-0.132874173160293,0.446699540728976
"PGEN_.00g299700","PGEN_.00g299700","PGEN_.00g299700","pink",NA,NA,NA,NA,-0.566730143109834,0.000386087253945967,0.845080656062071,1.71258472718978e-10,0.585226012154474,0.000221890837422827,0.746550608982951,2.61306976839539e-07,0.478610416322202,0.00363270657525756,0.046315925687003,0.791626461361877,0.237141463120996,0.170170945333941,0.137487041273082,0.43093345791851,0.0600168824446681,0.731990726271634,-0.170665742967632,0.326977701952511
"PGEN_.00g299500","PGEN_.00g299500","PGEN_.00g299500","pink","Q75WE7","VWA5A_RAT","","",-0.563138526138849,0.000428317215900611,0.759456456199553,1.22641413007584e-07,0.592578626967837,0.000176374029595291,0.593731326305454,0.000170052976712698,0.37452541954185,0.0266483007460979,-0.0159498924009421,0.927540621565284,0.130865849977607,0.453660197913366,0.252271089170328,0.143735662176976,0.197864096491534,0.254546256000852,-0.0533176080945749,0.760981597491807
"PGEN_.00g139970","PGEN_.00g139970","PGEN_.00g139970","pink","Q8WWT9","S13A3_HUMAN","GO:0005886; GO:0015137; GO:0015139; GO:0015141; GO:0015362; GO:0015746; GO:0016021; GO:0017153; GO:0070062","extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; alpha-ketoglutarate transmembrane transporter activity [GO:0015139]; citrate transmembrane transporter activity [GO:0015137]; high-affinity sodium:dicarboxylate symporter activity [GO:0015362]; sodium:dicarboxylate symporter activity [GO:0017153]; succinate transmembrane transporter activity [GO:0015141]; citrate transport [GO:0015746]",-0.55930682215182,0.000477855112959564,0.959885837559252,8.55739146164564e-20,0.580759826874236,0.000254416599665702,0.74462856913469,2.91348944316924e-07,0.483742447298409,0.00323865232796377,0.0384185648128875,0.826561584909114,0.0917309473169152,0.600218848196192,0.0489335211618693,0.780131141529931,-0.0272428085374751,0.876548559210757,-0.113493250408073,0.516239481005806
"PGEN_.00g009610","PGEN_.00g009610","PGEN_.00g009610","pink","Q6RG02","VIT_PENME","GO:0005319; GO:0008289; GO:0045735; GO:0048477","lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; nutrient reservoir activity [GO:0045735]; oogenesis [GO:0048477]",-0.553847320448508,0.000557228961253565,0.815894797869784,2.34590751235514e-09,0.679317320747774,7.22383367188042e-06,0.72766452690026,7.31690397318514e-07,0.546554328889139,0.000681426060461047,0.121842133952544,0.485643953412923,0.32422196700646,0.0574134418469104,0.245920687103059,0.154439138331774,0.172391717646607,0.322035587801686,-0.00775453283586418,0.964736278000611
"PGEN_.00g223450","PGEN_.00g223450","PGEN_.00g223450","pink","A9TXT1","CERK1_PHYPA","GO:0004674; GO:0005524; GO:0005886; GO:0006952; GO:0008061; GO:0016021","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; chitin binding [GO:0008061]; protein serine/threonine kinase activity [GO:0004674]; defense response [GO:0006952]",-0.551809836726191,0.00058972295802673,0.767991954311557,7.24439171373491e-08,0.674425988522386,8.89483800122246e-06,0.485696341768374,0.00309869442705997,0.534933926092698,0.000930297146901789,0.123923028231649,0.478166851127372,-0.0045590770319549,0.979263392009472,0.212959771109613,0.219341722540155,0.16971037025083,0.32973337695808,-0.16647337276159,0.339176389508419
"PGEN_.00g094440","PGEN_.00g094440","PGEN_.00g094440","pink",NA,NA,NA,NA,-0.546039268972013,0.000691059257350394,0.925452172768364,1.82368656985861e-15,0.715180465580172,1.38139573581649e-06,0.690590470505911,4.40437624030142e-06,0.472366360116741,0.00416763336141777,-0.00591538483056134,0.973096305897071,0.0635748738172608,0.716737885351085,0.23846333518305,0.167731783997133,0.202952362099898,0.242284906697888,-0.136927925386957,0.432827865375361
"PGEN_.00g088520","PGEN_.00g088520","PGEN_.00g088520","pink","A5A6P2","ASAH1_PANTR","GO:0005615; GO:0005764; GO:0016810; GO:0017040; GO:0030216; GO:0046512; GO:0046513; GO:0046514; GO:0050810; GO:0062098; GO:0071356; GO:0102121","extracellular space [GO:0005615]; lysosome [GO:0005764]; ceramidase activity [GO:0102121]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; N-acylsphingosine amidohydrolase activity [GO:0017040]; cellular response to tumor necrosis factor [GO:0071356]; ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]; keratinocyte differentiation [GO:0030216]; regulation of programmed necrotic cell death [GO:0062098]; regulation of steroid biosynthetic process [GO:0050810]; sphingosine biosynthetic process [GO:0046512]",-0.541002919140762,0.000791802168782068,0.7404775953334,3.67354615102182e-07,0.688173232726035,4.90635076247053e-06,0.540989159589672,0.000792094308093595,0.272264738158409,0.113581131966916,0.0762366734177606,0.66336154499224,0.00791009679807316,0.964029303995054,0.373070985927531,0.0272902251358548,0.365651561726486,0.0307658682685708,-0.236497096922215,0.171369096808705
