"","substanceBXH","geneSymbol","moduleColor","Uniprot","HGNC","GO.terms","GO.description","GS.taocTAOC","p.GS.taocTAOC","MM.pink","p.MM.pink","MM.blue","p.MM.blue","MM.green","p.MM.green","MM.yellow","p.MM.yellow","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.turquoise","p.MM.turquoise","MM.red","p.MM.red"
"PGEN_.00g214130","PGEN_.00g214130","PGEN_.00g214130","blue","Q3T0F5","RAB7A_BOVIN","GO:0000421; GO:0003924; GO:0005525; GO:0005623; GO:0005764; GO:0005770; GO:0005811; GO:0005829; GO:0006886; GO:0008333; GO:0016042; GO:0030670; GO:0031902; GO:0032419; GO:0032482; GO:0033162; GO:0045022; GO:0045335; GO:0061724; GO:0090383; GO:0090385","autophagosome membrane [GO:0000421]; cell [GO:0005623]; cytosol [GO:0005829]; extrinsic component of lysosome membrane [GO:0032419]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lipid droplet [GO:0005811]; lysosome [GO:0005764]; melanosome membrane [GO:0033162]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; early endosome to late endosome transport [GO:0045022]; endosome to lysosome transport [GO:0008333]; intracellular protein transport [GO:0006886]; lipid catabolic process [GO:0016042]; lipophagy [GO:0061724]; phagosome acidification [GO:0090383]; phagosome-lysosome fusion [GO:0090385]; Rab protein signal transduction [GO:0032482]",-0.752201581025698,1.88689046243406e-07,0.480757379046815,0.00346307019547756,0.651985003235557,2.20367444137626e-05,0.557553850126252,0.000502169060710354,0.260217891280525,0.131118640600404,0.375095043460671,0.0264003056998658,0.425438622365745,0.0108381591883436,0.38601573628261,0.0220014843139216,0.405263767652965,0.0157289237648993,-0.0179232961570703,0.918603657866816
"PGEN_.00g282110","PGEN_.00g282110","PGEN_.00g282110","blue","Q9VRC9","NPC1B_DROME","GO:0005886; GO:0007391; GO:0007417; GO:0007422; GO:0008203; GO:0016021; GO:0030299","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; central nervous system development [GO:0007417]; cholesterol metabolic process [GO:0008203]; dorsal closure [GO:0007391]; intestinal cholesterol absorption [GO:0030299]; peripheral nervous system development [GO:0007422]",-0.71938058336638,1.11968129715384e-06,0.631358162319201,4.7647354432601e-05,0.719569835935623,1.10903639864155e-06,0.384986015913149,0.022388398536689,0.378336748714711,0.0250249092944255,0.259303407295543,0.132527336605264,-0.030014936816426,0.864097766563934,0.45776467664491,0.00569105942748614,0.465371274802133,0.00484655127641898,-0.00715988172791091,0.967438960980801
"PGEN_.00g042350","PGEN_.00g042350","PGEN_.00g042350","blue","P26779","SAP_BOVIN","GO:0005576; GO:0005615; GO:0005764; GO:0005770; GO:0006665; GO:0007041; GO:0007193; GO:0019216; GO:0060736; GO:0060742","extracellular region [GO:0005576]; extracellular space [GO:0005615]; late endosome [GO:0005770]; lysosome [GO:0005764]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; epithelial cell differentiation involved in prostate gland development [GO:0060742]; lysosomal transport [GO:0007041]; prostate gland growth [GO:0060736]; regulation of lipid metabolic process [GO:0019216]; sphingolipid metabolic process [GO:0006665]",-0.666764247487574,1.22284187751428e-05,0.647916054208012,2.57737177547354e-05,0.827508739671498,8.77835710855392e-10,0.284479635606058,0.0976600922211604,0.47330818930706,0.00408282748779803,0.496366442284096,0.00242335456866728,-0.160616987829442,0.356676145277994,0.359861401937222,0.0337231218438472,0.432737458345935,0.0094204080473678,-0.0248310979850206,0.887404422815436
"PGEN_.00g218100","PGEN_.00g218100","PGEN_.00g218100","blue","P49137","MAPK2_HUMAN","GO:0000165; GO:0000187; GO:0002224; GO:0004672; GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0006468; GO:0006691; GO:0006954; GO:0006974; GO:0009931; GO:0018105; GO:0032496; GO:0032675; GO:0032680; GO:0034097; GO:0035556; GO:0035924; GO:0038066; GO:0042535; GO:0043488; GO:0044351; GO:0046777; GO:0048010; GO:0048839; GO:0051019; GO:0070062; GO:0070935; GO:1900034","centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; mitogen-activated protein kinase binding [GO:0051019]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; activation of MAPK activity [GO:0000187]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; inflammatory response [GO:0006954]; inner ear development [GO:0048839]; intracellular signal transduction [GO:0035556]; leukotriene metabolic process [GO:0006691]; macropinocytosis [GO:0044351]; MAPK cascade [GO:0000165]; p38MAPK cascade [GO:0038066]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of cellular response to heat [GO:1900034]; regulation of interleukin-6 production [GO:0032675]; regulation of mRNA stability [GO:0043488]; regulation of tumor necrosis factor production [GO:0032680]; response to cytokine [GO:0034097]; response to lipopolysaccharide [GO:0032496]; toll-like receptor signaling pathway [GO:0002224]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]",-0.660292187238517,1.58888873253891e-05,0.742316738019231,3.31676655866271e-07,0.895598252973519,3.76495447579313e-13,0.458114112652821,0.00564966145502103,0.453557890214877,0.00621027615756995,0.478590956572796,0.00363427648877034,-0.00963186042996331,0.956206518607483,0.344748047813124,0.0425462970928055,0.430115562652326,0.00991036992356566,0.0578948863017363,0.741136310052613
"PGEN_.00g162570","PGEN_.00g162570","PGEN_.00g162570","blue",NA,NA,NA,NA,-0.655873390150904,1.89318122464816e-05,0.463202728739688,0.00507550861906475,0.650554269754429,2.32906851410775e-05,0.359452706676305,0.0339403212003276,0.3194429739882,0.061405852817409,0.179763342413886,0.301454704123023,0.0632714741915008,0.718034437835837,0.562024300222191,0.000442228319875272,0.552346417978817,0.000581006474816378,-0.0923587885548273,0.597715722956635
"PGEN_.00g080200","PGEN_.00g080200","PGEN_.00g080200","blue","Q03105","VATL_TORMA","GO:0005774; GO:0015078; GO:0016021; GO:0033179","integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar membrane [GO:0005774]; proton transmembrane transporter activity [GO:0015078]",-0.628730060180576,5.23579959332954e-05,0.600848458261498,0.000135322507906286,0.675594780684509,8.46636270441458e-06,0.642194611703188,3.20012961668595e-05,0.285890375245033,0.0959369329936155,0.409976560766121,0.0144463384418228,0.446992785132346,0.00710168201148953,0.172792979357324,0.320893321776112,0.216501429999538,0.211590929619296,-0.0386123308724075,0.825700210772226
"PGEN_.00g053840","PGEN_.00g053840","PGEN_.00g053840","blue","Q9NR30","DDX21_HUMAN","GO:0001649; GO:0002735; GO:0003723; GO:0003724; GO:0003725; GO:0005524; GO:0005654; GO:0005730; GO:0005739; GO:0005829; GO:0006364; GO:0006366; GO:0016020; GO:0019843; GO:0030515; GO:0035198; GO:0042802; GO:0043123; GO:0043330; GO:0045087; GO:0045815; GO:0051607; GO:0097322","cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; 7SK snRNA binding [GO:0097322]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; rRNA binding [GO:0019843]; snoRNA binding [GO:0030515]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; osteoblast differentiation [GO:0001649]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; response to exogenous dsRNA [GO:0043330]; rRNA processing [GO:0006364]; transcription by RNA polymerase II [GO:0006366]",-0.614343156981696,8.64275041090033e-05,0.859863874508099,3.67455089739807e-11,0.838313449291686,3.28792622949287e-10,0.562266133523319,0.000439175350837342,0.500241434082547,0.00221205245368796,0.298102006532486,0.0819752549988066,0.00737693174923854,0.966452428031238,0.207548512798072,0.231555571354658,0.252349622475423,0.14360678440062,0.0020018749987376,0.990893837663842
"PGEN_.00g158320","PGEN_.00g158320","PGEN_.00g158320","blue","Q7T2B9","MTPN_DANRE","GO:0005634; GO:0048471","nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]",-0.61276628525951,9.11726780168569e-05,0.520102697726542,0.0013623922723238,0.705621365976922,2.19825336613365e-06,0.354794688982833,0.0364973165440649,0.326738422437467,0.0553954957804733,0.426655253844518,0.0105900001794621,0.0804686305544025,0.645863601531433,0.496341387277315,0.00242477617270434,0.483612942376439,0.00324811973051183,-0.0915209303026357,0.601057168021203
"PGEN_.00g175190","PGEN_.00g175190","PGEN_.00g175190","blue","Q05975","RAB2_LYMST","GO:0000139; GO:0003924; GO:0005525; GO:0005789; GO:0015031; GO:0016192; GO:0033116","endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]",-0.602545476373818,0.000128045723247711,0.524480552301345,0.00121948450445617,0.812597255392797,3.06278216151947e-09,0.42378326453102,0.0111837056449746,0.279248895585623,0.104255605267366,0.449814909673553,0.00670591668731652,0.181263854553827,0.297370151811972,0.400263142906945,0.0171929087686217,0.513873451606912,0.00159105622295807,0.122260109655736,0.484137251186453
"PGEN_.00g302340","PGEN_.00g302340","PGEN_.00g302340","blue","Q9D0I8","MRT4_MOUSE","GO:0000027; GO:0000956; GO:0005730; GO:0005737; GO:0006364; GO:0030687; GO:0042273","cytoplasm [GO:0005737]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]",-0.591060737619981,0.000185018503222812,0.873151855131251,7.87329127260286e-12,0.742761073152377,3.23548629705944e-07,0.585497826222792,0.00022003712156084,0.505898337898817,0.00193250670745999,0.294630594051817,0.0857734702384254,0.0198709879130399,0.90979273783283,-0.0207854155122073,0.905659656151543,0.0255681701383266,0.884084399888668,-0.0279749682849234,0.873257165138938
