"","Pgen_ID","gene","day_count","Days","Category"
"1","PGEN_.00g001320",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"2","PGEN_.00g001920","F-BAR domain only protein 2",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"3","PGEN_.00g001960","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"4","PGEN_.00g003440","Dual specificity protein kinase shkA (EC 2.7.11.1) (SH2 domain-containing protein 1) (SH2 domain-containing protein A)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"5","PGEN_.00g003510",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"6","PGEN_.00g006300","Src kinase-associated phosphoprotein 2",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"7","PGEN_.00g007310","Putative ferric-chelate reductase 1 homolog (DmSDR2) (EC 1.-.-.-)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"8","PGEN_.00g007330","Zinc finger protein 616",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"9","PGEN_.00g007650",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"10","PGEN_.00g007860","Actin, cytoplasmic type 5",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"11","PGEN_.00g007870","Actin-3",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"12","PGEN_.00g008400","Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"13","PGEN_.00g011050","Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"14","PGEN_.00g012070","Serum amyloid A protein (SAA)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"15","PGEN_.00g012200","Cytochrome P450 1A1 (CYP1A1) (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Cytochrome P450MT2) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) [Cleaved into: Cytochrome P450MT2A; Cytochrome P450MT2B]",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"16","PGEN_.00g012860","NF-kappa-B inhibitor cactus",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"17","PGEN_.00g014940",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"18","PGEN_.00g017990","Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"19","PGEN_.00g018000","RNA-binding protein 25 (RNA-binding motif protein 25)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"20","PGEN_.00g018370",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"21","PGEN_.00g018550","ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"22","PGEN_.00g019730","Homeobox protein SIX4 (Sine oculis homeobox homolog 4)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"23","PGEN_.00g024500","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"24","PGEN_.00g027220","Presenilin-1 (PS-1) (EC 3.4.23.-) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit]",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"25","PGEN_.00g027760",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"26","PGEN_.00g029220","Protein dispatched homolog 1 (Mdispa)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"27","PGEN_.00g030460","Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"28","PGEN_.00g030500","Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"29","PGEN_.00g030660",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"30","PGEN_.00g031670","AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Breast cancer-associated antigen BRCAA1) (Histone deacetylase complex subunit SAP180) (Retinoblastoma-binding protein 1-like 1)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"31","PGEN_.00g033950",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"32","PGEN_.00g034140","Transcription factor MafK",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"33","PGEN_.00g034750","Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase) (Phytanate--CoA ligase) (EC 6.2.1.24)",2,"c(Day7, Day14)","stress_induc_recovery_7&14"
"34","PGEN_.00g034960","TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"35","PGEN_.00g037110","Testis-expressed protein 2 (Transmembrane protein 96)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"36","PGEN_.00g038830",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"37","PGEN_.00g039930","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"38","PGEN_.00g041490","Protein FAM234B",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"39","PGEN_.00g042640","Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)",2,"c(Day14, Day7)","stress_induc_recovery_7&14"
"40","PGEN_.00g043410","Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"41","PGEN_.00g043820","Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"42","PGEN_.00g043850",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"43","PGEN_.00g045110","UBA-like domain-containing protein 2",2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"44","PGEN_.00g045500",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"45","PGEN_.00g047650","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"46","PGEN_.00g048130","Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)",2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
"47","PGEN_.00g049160",NA,2,"c(Day7, Day21)","rapid_induced_under_exposures_7&21"
"48","PGEN_.00g049800",NA,2,"c(Day21, Day7)","rapid_induced_under_exposures_7&21"
