"","Pgen_ID","gene","day_count","Days","Category"
"1","PGEN_.00g000320",NA,2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"2","PGEN_.00g000600","Xylose isomerase (EC 5.3.1.5)",3,"c(Day21, Day14, Day7)","all_days"
"3","PGEN_.00g001350","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]",3,"c(Day21, Day7, Day14)","all_days"
"4","PGEN_.00g001540","Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)",2,"c(Day7, Day14)","stress_induc_recovery_7&14"
"5","PGEN_.00g002290","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"6","PGEN_.00g002440","Cytochrome P450 10 (EC 1.14.-.-) (CYPX)",2,"c(Day14, Day7)","stress_induc_recovery_7&14"
"7","PGEN_.00g002500","Transmembrane protein 214-A",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"8","PGEN_.00g002680","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",3,"c(Day14, Day21, Day7)","all_days"
"9","PGEN_.00g002750","Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"10","PGEN_.00g003940","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)",3,"c(Day21, Day14, Day7)","all_days"
"11","PGEN_.00g005400",NA,3,"c(Day21, Day14, Day7)","all_days"
"12","PGEN_.00g005530","Brevican core protein",3,"c(Day21, Day7, Day14)","all_days"
"13","PGEN_.00g005660","Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"14","PGEN_.00g005680","Histidine N-alpha-methyltransferase (EC 2.1.1.44) (Histidine trimethyltransferase)",2,"c(Day21, Day14)","recovery_prep_reg_14&21"
"15","PGEN_.00g006380","Counting factor associated protein D",3,"c(Day7, Day14, Day21)","all_days"
"16","PGEN_.00g006490","Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)",3,"c(Day21, Day14, Day7)","all_days"
"17","PGEN_.00g006720","Cysteine-rich protein 2-binding protein (CSRP2-binding protein) (ADA2A-containing complex subunit 2) (ATAC2) (CRP2-binding partner) (CRP2BP) (Lysine acetyltransferase 14)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
"18","PGEN_.00g007030","KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR)",2,"c(Day14, Day21)","recovery_prep_reg_14&21"
