"","Gene","Gene_Description","AA","AM","AS","MA","MM","MS","foldChangeRatioModerate","ControlRatioModerate","foldChangeRatioSevere","ControlRatioSevere","baseMeanNAIVE_control","baseMeanPRIMED_control","baseMeanNAIVE_foldChangeModerate","baseMeanPRIMED_foldChangeModerate","baseMeanNAIVE_foldChangeSevere","baseMeanPRIMED_foldChangeSevere"
"1","PGEN_.00g000600","Xylose isomerase (EC 5.3.1.5)",14.7312686620268,13.1352865703221,12.2150689059843,6.58879585044055,9.57753042590686,8.94866425194825,NA,NA,NA,NA,14.7312686620268,6.58879585044055,0.891660241332862,1.45360861731153,0.829193274946605,1.35816383677298
"2","PGEN_.00g001350","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]",169.467736310675,270.408104342903,162.857619774992,89.134227580986,266.966250890035,113.520233536058,1.87706443861131,0.525965765056197,NA,NA,169.467736310675,89.134227580986,1.59563177174433,2.99510365585963,0.96099483784002,1.27358744914141
"3","PGEN_.00g002680","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",17.7904160167653,23.4461738037078,25.0231538276954,8.94224913991067,22.0639359853176,12.6656409757234,1.87219183590638,0.502644183895625,1.00698839556224,0.502644183895625,17.7904160167653,8.94224913991067,1.31791037273173,2.46738104028468,1.40655248332102,1.41638202845352
"4","PGEN_.00g003940","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)",30.973790352968,31.5181088242669,50.4879715484072,17.1550886765147,24.5879143970158,10.8647569497932,1.40851971097566,0.553858229200252,0.388537981936166,0.553858229200252,30.973790352968,17.1550886765147,1.01757351829066,1.43327235787925,1.63002238257125,0.633325607035014
"5","PGEN_.00g005400",NA,20.9673393023224,24.5097261329311,19.8389684653826,19.4294827320939,23.8484697547843,16.7326258157676,1.05003589055567,0.926654662851847,NA,NA,20.9673393023224,19.4294827320939,1.16894784691238,1.22743719344577,0.946184357458513,0.861197698697785
"6","PGEN_.00g005530","Brevican core protein",15.4431328284484,25.7856455233248,22.8459506280904,9.21465209597227,24.157471320888,11.7190935749765,1.57010945390272,0.596682823254462,0.859688767067894,0.596682823254462,15.4431328284484,9.21465209597227,1.669715970831,2.62163683113411,1.47935984763435,1.27178904346252
"7","PGEN_.00g006380","Counting factor associated protein D",164.099510475142,231.154778932312,194.17806666566,130.109674977411,230.620134489133,160.726115484783,1.25832271960041,0.79287058566284,1.04396026604929,0.79287058566284,164.099510475142,130.109674977411,1.4086256458841,1.77250565362777,1.18329461253984,1.23531255852178
"8","PGEN_.00g006490","Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)",25.4905152154368,44.662617249509,33.3897035390185,11.5144724386998,44.3586872564287,22.6953403640227,2.19871573712049,0.451715955577343,1.50473043842784,0.451715955577343,25.4905152154368,11.5144724386998,1.7521268939461,3.85242897515133,1.30988735444618,1.97102737314688
"9","PGEN_.00g007040","Perlucin-like protein",25.897639978108,37.5859109236948,28.1782984145113,14.5109344056057,29.9099723964693,12.0630086352368,1.42022038588385,0.560318794217243,0.764021684287451,0.560318794217243,25.897639978108,14.5109344056057,1.45132571753516,2.06120237060094,1.08806433475526,0.831304745652821
"10","PGEN_.00g008880","Hydroxysteroid dehydrogenase-like protein 2 (EC 1.-.-.-)",10.6683805022776,12.9887885296099,11.5669825601902,7.9691274538917,8.66206937463787,3.51063567808845,0.892772359290214,0.746985679053193,0.406306159010296,0.746985679053193,10.6683805022776,7.9691274538917,1.21750330585199,1.08695329880912,1.0842304094535,0.440529493147214
