"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","effect","slim_term","Gene_IDs"
"1","GO:0000272",0.00757498443753248,0.999702192556662,2,24,"polysaccharide catabolic process","BP","Down","MAvAM","catabolic process","PGEN_.00g006380;PGEN_.00g057120;PGEN_.00g169480;PGEN_.00g285590"
"2","GO:0000272",0.00757498443753248,0.999702192556662,2,24,"polysaccharide catabolic process","BP","Down","MAvAM","carbohydrate metabolic process","PGEN_.00g057120;PGEN_.00g169480"
"3","GO:0001942",0.0302698915177349,0.9974555052609,2,47,"hair follicle development","BP","Down","MAvAM","anatomical structure development","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"4","GO:0002062",0.00979748749170972,0.999557547825506,2,26,"chondrocyte differentiation","BP","Down","MAvAM","cell differentiation","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"5","GO:0002062",0.00979748749170972,0.999557547825506,2,26,"chondrocyte differentiation","BP","Down","MAvAM","anatomical structure development","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"6","GO:0002542",9.21070801984554e-05,0.999999830806013,2,3,"Factor XII activation","BP","Down","MAvAM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g199810;PGEN_.00g279590;PGEN_.00g346230"
"7","GO:0002542",9.21070801984554e-05,0.999999830806013,2,3,"Factor XII activation","BP","Down","MAvAM","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990"
"8","GO:0002576",0.0304972839472758,0.997426073883066,2,47,"platelet degranulation","BP","Down","MAvAM","transport","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g164540;PGEN_.00g164660"
"9","GO:0002576",0.0304972839472758,0.997426073883066,2,47,"platelet degranulation","BP","Down","MAvAM","vesicle-mediated transport","PGEN_.00g086610;PGEN_.00g086660"
"10","GO:0003429",0.0109413531905409,0.99947437016696,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","MAvAM","cell differentiation","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"11","GO:0003429",0.0109413531905409,0.99947437016696,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","MAvAM","cell morphogenesis","PGEN_.00g119470;PGEN_.00g127990"
"12","GO:0003429",0.0109413531905409,0.99947437016696,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","MAvAM","growth","PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"13","GO:0003429",0.0109413531905409,0.99947437016696,2,28,"growth plate cartilage chondrocyte morphogenesis","BP","Down","MAvAM","anatomical structure development","PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"14","GO:0006032",0.00867899046825536,0.999632881472586,2,25,"chitin catabolic process","BP","Down","MAvAM","catabolic process","PGEN_.00g006380;PGEN_.00g057120;PGEN_.00g169480;PGEN_.00g285590"
