"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","effect","dir","Gene_terms"
"1","PGEN_.00g009930","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Neurotrypsin"
"2","PGEN_.00g009930","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Neurotrypsin"
"3","PGEN_.00g033640","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Plasma kallikrein"
"4","PGEN_.00g033640","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Plasma kallikrein"
"5","PGEN_.00g047200","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Trypsin beta"
"6","PGEN_.00g047200","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Trypsin beta"
"7","PGEN_.00g057120","hydrolase activity, acting on glyco...",0.00106120956883581,"GO:0008843","endochitinase activity","MF","MAvAM","Down","Chitotriosidase-1"
"8","PGEN_.00g057120","hydrolase activity, acting on glyco...",0.0049732742936172,"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","MF","MAvAM","Down","Chitotriosidase-1"
"9","PGEN_.00g057120","hydrolase activity, acting on glyco...",0.00468485168684865,"GO:0004568","chitinase activity","MF","MAvAM","Down","Chitotriosidase-1"
"10","PGEN_.00g057170","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Plasma kallikrein"
"11","PGEN_.00g057170","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Plasma kallikrein"
"12","PGEN_.00g057190","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Plasma kallikrein"
"13","PGEN_.00g057190","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Plasma kallikrein"
"14","PGEN_.00g057310","enzyme regulator activity",0.00847808132476182,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","MAvAM","Down","Four-domain proteases inhibitor (McaPI)"
"15","PGEN_.00g085780","structural molecule activity",0.00166406674552571,"GO:0005201","extracellular matrix structural constituent","MF","MAvAM","Down","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"16","PGEN_.00g086610","enzyme regulator activity",0.00847808132476182,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","MAvAM","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"17","PGEN_.00g086660","enzyme regulator activity",0.00847808132476182,"GO:0004867","serine-type endopeptidase inhibitor activity","MF","MAvAM","Down","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"18","PGEN_.00g095380","structural molecule activity",0.00166406674552571,"GO:0005201","extracellular matrix structural constituent","MF","MAvAM","Down","Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)"
"19","PGEN_.00g108800","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Angiotensin-converting enzyme (ACE)"
"20","PGEN_.00g119470","structural molecule activity",0.00166406674552571,"GO:0005201","extracellular matrix structural constituent","MF","MAvAM","Down","Cartilage matrix protein (Matrilin-1)"
"21","PGEN_.00g164540","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Meprin A subunit beta"
"22","PGEN_.00g164540","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Meprin A subunit beta"
"23","PGEN_.00g164540","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Meprin A subunit beta"
"24","PGEN_.00g164550","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Meprin A subunit alpha"
"25","PGEN_.00g164550","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Meprin A subunit alpha"
"26","PGEN_.00g164550","peptidase activity",2.26036304634216e-06,"GO:0004252","serine-type endopeptidase activity","MF","MAvAM","Down","Meprin A subunit alpha"
"27","PGEN_.00g164650","peptidase activity",0.000898765321457292,"GO:0004222","metalloendopeptidase activity","MF","MAvAM","Down","Meprin A subunit alpha"
"28","PGEN_.00g164650","ion binding",0.0132669435163804,"GO:0008270","zinc ion binding","MF","MAvAM","Down","Meprin A subunit alpha"
