"","PgenIDs","slim_term","over_represented_pvalue","GO_terms","term","ontology","effect","dir","Gene_terms"
"1","PGEN_.00g006380","catabolic process",0.00757498443753248,"GO:0000272","polysaccharide catabolic process","BP","MAvAM","Down","Counting factor associated protein D"
"2","PGEN_.00g006380","catabolic process",0.0239468346114708,"GO:0051603","proteolysis involved in cellular protein catabolic process","BP","MAvAM","Down","Counting factor associated protein D"
"3","PGEN_.00g006380","catabolic process",0.00867899046825536,"GO:0006032","chitin catabolic process","BP","MAvAM","Down","Counting factor associated protein D"
"4","PGEN_.00g033640","response to stress",0.0185025700361656,"GO:0048678","response to axon injury","BP","MAvAM","Down","Plasma kallikrein"
"5","PGEN_.00g033640","response to stress",9.21070801984554e-05,"GO:0002542","Factor XII activation","BP","MAvAM","Down","Plasma kallikrein"
"6","PGEN_.00g033640","protein maturation",9.21070801984554e-05,"GO:0002542","Factor XII activation","BP","MAvAM","Down","Plasma kallikrein"
"7","PGEN_.00g033640","extracellular matrix organization",0.00226003700068322,"GO:0022617","extracellular matrix disassembly","BP","MAvAM","Down","Plasma kallikrein"
"8","PGEN_.00g033640","response to stress",2.07703789921831e-05,"GO:0051919","positive regulation of fibrinolysis","BP","MAvAM","Down","Plasma kallikrein"
"9","PGEN_.00g033640","response to stress",0.0214399770840207,"GO:0006954","inflammatory response","BP","MAvAM","Down","Plasma kallikrein"
"10","PGEN_.00g033640","response to stress",0.000294978178868725,"GO:0007597","blood coagulation, intrinsic pathway","BP","MAvAM","Down","Plasma kallikrein"
"11","PGEN_.00g033640","response to stress",0.00638654806121398,"GO:0042246","tissue regeneration","BP","MAvAM","Down","Plasma kallikrein"
"12","PGEN_.00g033640","protein maturation",0.000483117788349283,"GO:0031638","zymogen activation","BP","MAvAM","Down","Plasma kallikrein"
"13","PGEN_.00g033640","response to stress",0.00032262359552838,"GO:0042730","fibrinolysis","BP","MAvAM","Down","Plasma kallikrein"
"14","PGEN_.00g033640","protein maturation",1.457158181236e-05,"GO:0031639","plasminogen activation","BP","MAvAM","Down","Plasma kallikrein"
