"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"1","crg:105317035","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105317035","D-aspartate oxidase"
"2","crg:105318146","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105318146","ganglioside GM2 activator"
"3","crg:105318218","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105318218","V-type proton ATPase subunit d"
"4","crg:105318588","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105318588","serine/threonine-protein kinase TBK1"
"5","crg:105319409","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"6","crg:105319409","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"7","crg:105319409","crg01212","Fatty acid metabolism","105319409/105321895/105332999/105333323/105333437/105346656/105348652",7,"105319409","peroxisomal acyl-coenzyme A oxidase 1"
"8","crg:105320167","crg00830","Retinol metabolism","105320167/105321989/105336470/105336995",4,"105320167","short-chain dehydrogenase/reductase 3"
"9","crg:105320190","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105320190","phosphoinositide 3-kinase regulatory subunit 4"
"10","crg:105320723","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105320723","gastric triacylglycerol lipase"
"11","crg:105321566","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105321566","V-type proton ATPase 16 kDa proteolipid subunit"
"12","crg:105321895","crg01212","Fatty acid metabolism","105319409/105321895/105332999/105333323/105333437/105346656/105348652",7,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"13","crg:105321895","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"14","crg:105321989","crg00830","Retinol metabolism","105320167/105321989/105336470/105336995",4,"105321989","beta,beta-carotene 15,15'-dioxygenase"
"15","crg:105323285","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105323285","cathepsin L1"
"16","crg:105323285","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105323285","cathepsin L1"
"17","crg:105325181","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105325181","2-hydroxyacyl-CoA lyase 1"
"18","crg:105325209","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105325209","vacuole membrane protein 1"
"19","crg:105326193","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105326193","4-trimethylaminobutyraldehyde dehydrogenase"
"20","crg:105326821","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105326821","alpha-galactosidase A"
"21","crg:105328916","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105328916","cathepsin B"
"22","crg:105328916","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105328916","cathepsin B"
"23","crg:105329358","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105329358","peroxisomal membrane protein 2"
"24","crg:105329527","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105329527","sialin"
"25","crg:105329694","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105329694","ras-related protein Rab-8A"
"26","crg:105331028","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105331028","AP-1 complex subunit beta-1"
"27","crg:105331792","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105331792","3-phosphoinositide-dependent protein kinase 1"
"28","crg:105332999","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105332999","long-chain-fatty-acid--CoA ligase 1"
"29","crg:105332999","crg01212","Fatty acid metabolism","105319409/105321895/105332999/105333323/105333437/105346656/105348652",7,"105332999","long-chain-fatty-acid--CoA ligase 1"
"30","crg:105332999","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105332999","long-chain-fatty-acid--CoA ligase 1"
"31","crg:105333323","crg01212","Fatty acid metabolism","105319409/105321895/105332999/105333323/105333437/105346656/105348652",7,"105333323","carnitine O-palmitoyltransferase 2, mitochondrial"
"32","crg:105333323","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105333323","carnitine O-palmitoyltransferase 2, mitochondrial"
"33","crg:105333437","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"34","crg:105333437","crg01212","Fatty acid metabolism","105319409/105321895/105332999/105333323/105333437/105346656/105348652",7,"105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"35","crg:105333701","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105333701","carnitine O-acetyltransferase"
"36","crg:105334333","crg04142","Lysosome","105340324/105318146/105318218/105320723/105321566/105323285/105326821/105328916/105329527/105331028/105334333/105342463/105345520/105347059/105348036/105348190",16,"105334333","galactocerebrosidase"
"37","crg:105335251","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105335251","serine/threonine-protein kinase STK11"
"38","crg:105335621","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105335621","enoyl-CoA delta isomerase 3"
"39","crg:105336470","crg00071","Fatty acid degradation","105319409/105321895/105332999/105333323/105333437/105335621/105336470/105346656/105348652/105326193",10,"105336470","alcohol dehydrogenase class-3"
"40","crg:105336470","crg00830","Retinol metabolism","105320167/105321989/105336470/105336995",4,"105336470","alcohol dehydrogenase class-3"
"41","crg:105336995","crg04146","Peroxisome","105317035/105319409/105325181/105329358/105332999/105333701/105336995/105338951/105339902/105346656",10,"105336995","dehydrogenase/reductase SDR family member 4"
"42","crg:105336995","crg00830","Retinol metabolism","105320167/105321989/105336470/105336995",4,"105336995","dehydrogenase/reductase SDR family member 4"
"43","crg:105337869","crg04140","Autophagy - animal","105318588/105320190/105323285/105325209/105328916/105329694/105331792/105335251/105337869",9,"105337869","eIF-2-alpha kinase GCN2"
