"","Gene_IDs","slim_term","slim_cat","Gene_count","module_day","Day","moduleColor","Uniprot","Gene_term_EC","gene"
"1","PGEN_.00g001540","small molecule metabolic process","GO:0044281",10,"Day14_brown","Day14","brown","P27169","Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)","Serum paraoxonase/arylesterase 1 "
"2","PGEN_.00g001540","lipid metabolic process","GO:0006629",10,"Day14_brown","Day14","brown","P27169","Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)","Serum paraoxonase/arylesterase 1 "
"3","PGEN_.00g001960","catabolic process","GO:0009056",13,"Day7_yellow","Day7","yellow","Q9UPU5","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)","Ubiquitin carboxyl-terminal hydrolase 24 "
"4","PGEN_.00g002230","biosynthetic process","GO:0009058",40,"Day21_pink","Day21","pink","Q9NZI5","Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)","Grainyhead-like protein 1 homolog "
"5","PGEN_.00g002230","cellular nitrogen compound metaboli...","GO:0034641",40,"Day21_pink","Day21","pink","Q9NZI5","Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)","Grainyhead-like protein 1 homolog "
"6","PGEN_.00g002750","cell cycle","GO:0007049",10,"Day14_brown","Day14","brown","P49454","Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)","Centromere protein F "
"7","PGEN_.00g003090","cytoskeleton organization","GO:0007010",17,"Day21_blue","Day21","blue","Q924U5","Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)","Dual specificity testis-specific protein kinase 2 "
"8","PGEN_.00g003130","biosynthetic process","GO:0009058",79,"Day21_yellow","Day21","yellow","Q5U2T6","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)","Zinc finger protein PLAG1 "
"9","PGEN_.00g003130","cellular nitrogen compound metaboli...","GO:0034641",79,"Day21_yellow","Day21","yellow","Q5U2T6","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)","Zinc finger protein PLAG1 "
"10","PGEN_.00g003240","catabolic process","GO:0009056",27,"Day21_blue","Day21","blue","Q2KHU4","ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)","ATP-dependent Clp protease proteolytic subunit, mitochondrial "
