name	term	lev	seq	value
"positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion"	GO:0010880;GO:0051279;GO:0010881;GO:0010882;GO:0019722;GO:0019932;GO:0014810;GO:0014809;GO:0045989;GO:0014722;GO:0014819;GO:0006942;GO:0019852;GO:0006767;GO:0006766;GO:0032259;GO:0008152	4	PGEN_.00g180630	1.85070361241376
"neuropeptide signaling pathway"	GO:0007218;GO:0019233;GO:0007600;GO:0032355;GO:0014070;GO:0033993;GO:0010033	2	PGEN_.00g078840	4.91637724090334
"inner cell mass cell proliferation"	GO:0001824;GO:0001833;GO:0030858;GO:0030856;GO:0045597	3	PGEN_.00g205860	3.53687840342772
"inflammatory response"	GO:0006954;GO:0006952	2	PGEN_.00g164540	3.72708948040961
"inflammatory response"	GO:0006954;GO:0006952	2	PGEN_.00g164660	3.91733279432933
"receptor-mediated endocytosis"	GO:0006898	4	PGEN_.00g040970	3.77110843903446
"receptor-mediated endocytosis"	GO:0006898	4	PGEN_.00g205860	3.53687840342772
"positive regulation of acetylcholine secretion, neurotransmission"	GO:0090257;GO:0050794;GO:0007268;GO:0098916;GO:0007274;GO:0014057;GO:0001956;GO:0014056;GO:0032224;GO:0051954;GO:0032222	2	PGEN_.00g258930	-8.23704321979617
"system process"	GO:0003008	2	PGEN_.00g066340	3.95218770279158
"system process"	GO:0003008	2	PGEN_.00g339220	4.61056180766694
"system process"	GO:0003008	2	PGEN_.00g339230	5.30839308240351
"acetate metabolic process"	GO:0006083;GO:0019679;GO:0019541	2	PGEN_.00g323180	-2.20375044907256
"blood circulation"	GO:0006511;GO:0019941;GO:0008015;GO:0003013	2	PGEN_.00g339220	4.61056180766694
"blood circulation"	GO:0006511;GO:0019941;GO:0008015;GO:0003013	2	PGEN_.00g339230	5.30839308240351
"fructose 6-phosphate metabolic process"	GO:0006002;GO:0006796;GO:0019637;GO:1901135;GO:0006793;GO:0006042;GO:0006041;GO:1901073;GO:0006047;GO:0006040;GO:0009225;GO:0006048;GO:0009226;GO:0046349;GO:0006487;GO:0006541;GO:0009064;GO:0009744;GO:0034285;GO:0032869;GO:0071375;GO:0032922;GO:0007623	2	PGEN_.00g039930	-1.78449844953785
"post-embryonic development"	GO:0001958;GO:0036075;GO:0006661;GO:0046474;GO:0046488;GO:0097435;GO:0008156;GO:0006275;GO:2000113;GO:0008285;GO:0042127;GO:0048523;GO:0009791;GO:0010977;GO:0010975;GO:0031345;GO:0031344;GO:0032957;GO:0043647	2	PGEN_.00g238430	-1.03978160621539
"immune system process"	GO:0002376	1	PGEN_.00g169480	3.5034660437272
"immune system process"	GO:0002376	1	PGEN_.00g188250	2.90489739685297
"immune system process"	GO:0002376	1	PGEN_.00g238430	-1.03978160621539
"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"	GO:0007193;GO:0007188;GO:0007187;GO:0007186	5	PGEN_.00g035820	3.02956742887579
"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"	GO:0007193;GO:0007188;GO:0007187;GO:0007186	5	PGEN_.00g078840	4.91637724090334
"anatomical structure morphogenesis"	GO:0009653	2	PGEN_.00g066340	3.95218770279158
"anatomical structure morphogenesis"	GO:0009653	2	PGEN_.00g082950	-2.18180257957352
"regulation of muscle contraction"	GO:0006937	1	PGEN_.00g180630	1.85070361241376
"regulation of muscle contraction"	GO:0006937	1	PGEN_.00g258930	-8.23704321979617
"polysaccharide catabolic process"	GO:0000272;GO:0005976;GO:0009057;GO:0016052;GO:0006032;GO:0006026;GO:1901072;GO:0006955;GO:0050896	2	PGEN_.00g169480	3.5034660437272
"peripheral nervous system axon regeneration"	GO:0000302;GO:0007420;GO:0007568;GO:0014012;GO:0031103;GO:0031102;GO:0031099;GO:0031175;GO:0033554	4	PGEN_.00g279590	3.45960927912626
"lysosomal transport"	GO:0006665;GO:0006643;GO:0007041;GO:0007034;GO:0019216;GO:0080090	2	PGEN_.00g035820	3.02956742887579
""	GO:1901071		PGEN_.00g155650	-7.42098729483524
""	GO:1901071		PGEN_.00g288580	-12.8171941336744
"monocarboxylic acid metabolic process"	GO:0032787	1	PGEN_.00g076740	3.81151813670945
"monocarboxylic acid metabolic process"	GO:0032787	1	PGEN_.00g323180	-2.20375044907256
"actin filament organization"	GO:0007015	1	PGEN_.00g066340	3.95218770279158
"actin filament organization"	GO:0007015	1	PGEN_.00g238430	-1.03978160621539
"monocarboxylic acid transport"	GO:0015718	1	PGEN_.00g044960	3.28233445305782
"monocarboxylic acid transport"	GO:0015718	1	PGEN_.00g312840	-8.28755911153309
"innate immune response activating cell surface receptor signaling pathway"	GO:0002223;GO:0002220;GO:0002429;GO:0002758;GO:0002757;GO:0002768;GO:0002218;GO:0002253;GO:0002764;GO:0007166;GO:0006977;GO:0030330;GO:0071158;GO:0072431;GO:0006978;GO:0042772;GO:0010944;GO:0045892;GO:0016266;GO:0006493;GO:0019221;GO:0033629;GO:0007162;GO:0033628;GO:0030155	3	PGEN_.00g188250	2.90489739685297
"carboxylic acid metabolic process"	GO:0019752	1	PGEN_.00g076740	3.81151813670945
"carboxylic acid metabolic process"	GO:0019752	1	PGEN_.00g084780	2.74679719398583
"carboxylic acid metabolic process"	GO:0019752	1	PGEN_.00g180630	1.85070361241376
"carboxylic acid metabolic process"	GO:0019752	1	PGEN_.00g323180	-2.20375044907256
""	GO:0048646		PGEN_.00g066340	3.95218770279158
""	GO:0048646		PGEN_.00g085790	3.75890567805423
""	GO:0048646		PGEN_.00g215970	-1.25791769663445
""	GO:0048646		PGEN_.00g332980	4.29712444465146
"response to bacterium"	GO:0009617;GO:0051707	1	PGEN_.00g169480	3.5034660437272
"response to bacterium"	GO:0009617;GO:0051707	1	PGEN_.00g205860	3.53687840342772
"regulation of platelet-derived growth factor receptor signaling pathway"	GO:0010640;GO:0009966;GO:0010646;GO:0023051	2	PGEN_.00g238060	2.71773843829607
"regulation of platelet-derived growth factor receptor signaling pathway"	GO:0010640;GO:0009966;GO:0010646;GO:0023051	2	PGEN_.00g238430	-1.03978160621539
"regulation of platelet-derived growth factor receptor signaling pathway"	GO:0010640;GO:0009966;GO:0010646;GO:0023051	2	PGEN_.00g279590	3.45960927912626
