"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318065","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105318065","cation-dependent mannose-6-phosphate receptor"
"2","crg:105318650","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105318650","vacuolar protein sorting-associated protein 29"
"3","crg:105320043","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105320043","charged multivesicular body protein 6-like"
"4","crg:105320167","crg00830","Retinol metabolism","105336470/105333941/105336995/105342888/105320167",5,"105320167","short-chain dehydrogenase/reductase 3-like"
"5","crg:105320698","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105320698","ganglioside GM2 activator"
"6","crg:105321566","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105321566","V-type proton ATPase 16 kDa proteolipid subunit-like"
"7","crg:105321895","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like"
"8","crg:105321895","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105321895","medium-chain specific acyl-CoA dehydrogenase, mitochondrial-like"
"9","crg:105322050","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105322050","WASH complex subunit SWIP"
"10","crg:105324179","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105324179","D-aspartate oxidase"
"11","crg:105325181","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105325181","2-hydroxyacyl-CoA lyase 1-like"
"12","crg:105325216","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105325216","putative beta-hexosaminidase"
"13","crg:105325411","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105325411","probable peroxisomal membrane protein PEX13"
"14","crg:105326193","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105326193","4-trimethylaminobutyraldehyde dehydrogenase"
"15","crg:105326821","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105326821","alpha-galactosidase A"
"16","crg:105327720","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105327720","programmed cell death 6-interacting protein isoform X1"
"17","crg:105328916","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105328916","cathepsin B"
"18","crg:105329358","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105329358","peroxisomal membrane protein 2"
"19","crg:105329694","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105329694","ras-related protein Rab-8A isoform X1"
"20","crg:105330227","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105330227","isocitrate dehydrogenase [NADP] cytoplasmic"
"21","crg:105330728","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105330728","estradiol 17-beta-dehydrogenase 8-like"
"22","crg:105331028","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105331028","AP-1 complex subunit beta-1"
"23","crg:105331760","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105331760","cathepsin L1-like"
"24","crg:105333323","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105333323","carnitine O-palmitoyltransferase 2, mitochondrial-like"
"25","crg:105333323","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105333323","carnitine O-palmitoyltransferase 2, mitochondrial-like"
"26","crg:105333437","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"27","crg:105333437","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105333437","long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"28","crg:105333701","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105333701","carnitine O-acetyltransferase isoform X1"
"29","crg:105333941","crg00830","Retinol metabolism","105336470/105333941/105336995/105342888/105320167",5,"105333941","putative all-trans-retinol 13,14-reductase"
"30","crg:105334333","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105334333","galactocerebrosidase"
"31","crg:105335021","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105335021","sorting nexin-2"
"32","crg:105335622","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105335622","enoyl-CoA delta isomerase 2, peroxisomal"
"33","crg:105336470","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105336470","alcohol dehydrogenase class-3 isoform X1"
"34","crg:105336470","crg00830","Retinol metabolism","105336470/105333941/105336995/105342888/105320167",5,"105336470","alcohol dehydrogenase class-3 isoform X1"
"35","crg:105336995","crg00830","Retinol metabolism","105336470/105333941/105336995/105342888/105320167",5,"105336995","dehydrogenase/reductase SDR family member 4-like"
"36","crg:105336995","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105336995","dehydrogenase/reductase SDR family member 4-like"
"37","crg:105338087","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105338087","fatty acyl-CoA reductase 1"
"38","crg:105338347","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105338347","Niemann-Pick C1 protein-like"
"39","crg:105338951","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105338951","alkyldihydroxyacetonephosphate synthase, peroxisomal"
"40","crg:105339789","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105339789","peroxisomal acyl-coenzyme A oxidase 1"
"41","crg:105339789","crg00071","Fatty acid degradation","105336470/105348652/105333437/105346656/105335622/105333323/105326193/105321895/105339789",9,"105339789","peroxisomal acyl-coenzyme A oxidase 1"
"42","crg:105339789","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105339789","peroxisomal acyl-coenzyme A oxidase 1"
"43","crg:105339902","crg04146","Peroxisome","105325411/105339902/105338951/105346656/105329358/105338087/105330227/105324179/105336995/105325181/105333701/105339789",12,"105339902","catalase"
"44","crg:105340059","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105340059","clathrin heavy chain 1 isoform X1"
"45","crg:105340059","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105340059","clathrin heavy chain 1 isoform X1"
"46","crg:105340323","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105340323","lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog isoform X1"
"47","crg:105340688","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105340688","epididymal secretory protein E1"
"48","crg:105340690","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105340690","epididymal secretory protein E1-like"
"49","crg:105341564","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105341564","very-long-chain 3-oxoacyl-CoA reductase-like isoform X2"
"50","crg:105341804","crg04142","Lysosome","105340688/105340690/105347059/105321566/105326821/105331028/105348190/105340059/105325216/105340323/105334333/105328916/105338347/105341804/105342463/105318065/105320698/105331760",18,"105341804","sialin"
"51","crg:105342074","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105342074","sorting nexin-6"
"52","crg:105342245","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105342245","rab GTPase-binding effector protein 1"
"53","crg:105342284","crg01212","Fatty acid metabolism","105348652/105330728/105333437/105346656/105341564/105342284/105333323/105321895/105339789",9,"105342284","acyl-CoA synthetase family member 3, mitochondrial isoform X2"
"54","crg:105342463","crg04144","Endocytosis","105342074/105347356/105320043/109619106/105344087/105327720/105318650/105340059/105342245/105335021/105342944/105322050/105342535/105342876/105342463/105329694",16,"105342463","clathrin light chain A isoform X1"
