"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318268","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105318268","aspartate aminotransferase, mitochondrial"
"2","crg:105318268","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105318268","aspartate aminotransferase, mitochondrial"
"3","crg:105326051","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105326051","phosphoenolpyruvate carboxykinase, cytosolic [GTP] isoform X1"
"4","crg:105327391","crg03050","Proteasome","105343011/105341026/105337951/105330688/105327391/105329473",6,"105327391","26S proteasome non-ATPase regulatory subunit 4-like"
"5","crg:105328534","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105328534","transketolase-like protein 2 isoform X1"
"6","crg:105328534","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105328534","transketolase-like protein 2 isoform X1"
"7","crg:105328534","crg00030","Pentose phosphate pathway","105348082/105335896/105332291/105328534/105330927",5,"105328534","transketolase-like protein 2 isoform X1"
"8","crg:105329204","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105329204","propionyl-CoA carboxylase beta chain, mitochondrial"
"9","crg:105329473","crg03050","Proteasome","105343011/105341026/105337951/105330688/105327391/105329473",6,"105329473","26S proteasome non-ATPase regulatory subunit 14"
"10","crg:105330688","crg03050","Proteasome","105343011/105341026/105337951/105330688/105327391/105329473",6,"105330688","26S proteasome non-ATPase regulatory subunit 1"
"11","crg:105330743","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105330743","alanine aminotransferase 1"
"12","crg:105330743","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105330743","alanine aminotransferase 1"
"13","crg:105330927","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"14","crg:105330927","crg00030","Pentose phosphate pathway","105348082/105335896/105332291/105328534/105330927",5,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"15","crg:105330927","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"16","crg:105330927","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105330927","ATP-dependent 6-phosphofructokinase isoform X1"
"17","crg:105332291","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105332291","glucose-6-phosphate isomerase"
"18","crg:105332291","crg00030","Pentose phosphate pathway","105348082/105335896/105332291/105328534/105330927",5,"105332291","glucose-6-phosphate isomerase"
"19","crg:105332291","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105332291","glucose-6-phosphate isomerase"
"20","crg:105335896","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105335896","fructose-bisphosphate aldolase"
"21","crg:105335896","crg00030","Pentose phosphate pathway","105348082/105335896/105332291/105328534/105330927",5,"105335896","fructose-bisphosphate aldolase"
"22","crg:105335896","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105335896","fructose-bisphosphate aldolase"
"23","crg:105335896","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105335896","fructose-bisphosphate aldolase"
"24","crg:105336766","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105336766","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"
"25","crg:105337951","crg03050","Proteasome","105343011/105341026/105337951/105330688/105327391/105329473",6,"105337951","proteasome subunit beta type-5 isoform X1"
"26","crg:105340512","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105340512","glyceraldehyde-3-phosphate dehydrogenase"
"27","crg:105340512","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105340512","glyceraldehyde-3-phosphate dehydrogenase"
"28","crg:105340512","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105340512","glyceraldehyde-3-phosphate dehydrogenase"
"29","crg:105340692","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105340692","methionine synthase"
"30","crg:105341026","crg03050","Proteasome","105343011/105341026/105337951/105330688/105327391/105329473",6,"105341026","26S proteasome non-ATPase regulatory subunit 13"
"31","crg:105343011","crg03050","Proteasome","105343011/105341026/105337951/105330688/105327391/105329473",6,"105343011","26S protease regulatory subunit 10B"
"32","crg:105343391","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105343391","isocitrate dehydrogenase [NADP], mitochondrial-like"
"33","crg:105343391","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105343391","isocitrate dehydrogenase [NADP], mitochondrial-like"
"34","crg:105343888","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105343888","malate dehydrogenase, cytoplasmic"
"35","crg:105347662","crg01230","Biosynthesis of amino acids","105340692/105335896/105330743/105318268/105328534/105343391/105330927/105340512/105347662",9,"105347662","triosephosphate isomerase"
"36","crg:105347662","crg01200","Carbon metabolism","105336766/105343888/105335896/105330743/105332291/105318268/105328534/105329204/105343391/105330927/105340512/105347662",12,"105347662","triosephosphate isomerase"
"37","crg:105347662","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105347662","triosephosphate isomerase"
"38","crg:105348082","crg00030","Pentose phosphate pathway","105348082/105335896/105332291/105328534/105330927",5,"105348082","phosphoglucomutase-1 isoform X1"
"39","crg:105348082","crg00010","Glycolysis / Gluconeogenesis","105348082/105335896/105332291/105326051/105330927/105340512/105347662",7,"105348082","phosphoglucomutase-1 isoform X1"
