"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317347","crg03013","RNA transport","105347464/105336042/105338957/105331448/105330153/105339039/109617380/105343479/105317347/105321705/105331595/105328593/105331793/105344597/105322817/105342933/105339951/105319209/105345876",19,"105317347","eukaryotic translation initiation factor 4 gamma 2-like"
"2","crg:105317596","crg03040","Spliceosome","105324065/105319620/105340745/105345480/105334527/105330153/105333434/105327851/105344728/105343247/105317596/105322600/105347185/105322652/105326953/105333111/105336187/105319209/105340246",19,"105317596","protein CWC15 homolog A-like"
"3","crg:105318560","crg03008","Ribosome biogenesis in eukaryotes","105323847/105329502/105341403/105340884/105318560/105327414/105342694/105332856/105347537/105326651/105334252/105329551/105327664/105347334/105332140",15,"105318560","RNA-binding protein 28"
"4","crg:105318855","crg04141","Protein processing in endoplasmic reticulum","105336785/105328488/105331513/105325010/105318855/105325130/105335023/105330973/105322320/105337306/105340370/105326395/105319990",13,"105318855","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B"
"5","crg:105319209","crg03040","Spliceosome","105324065/105319620/105340745/105345480/105334527/105330153/105333434/105327851/105344728/105343247/105317596/105322600/105347185/105322652/105326953/105333111/105336187/105319209/105340246",19,"105319209","spliceosome RNA helicase DDX39B"
"6","crg:105319209","crg03013","RNA transport","105347464/105336042/105338957/105331448/105330153/105339039/109617380/105343479/105317347/105321705/105331595/105328593/105331793/105344597/105322817/105342933/105339951/105319209/105345876",19,"105319209","spliceosome RNA helicase DDX39B"
"7","crg:105319620","crg03040","Spliceosome","105324065/105319620/105340745/105345480/105334527/105330153/105333434/105327851/105344728/105343247/105317596/105322600/105347185/105322652/105326953/105333111/105336187/105319209/105340246",19,"105319620","splicing factor 3B subunit 2"
"8","crg:105319990","crg04141","Protein processing in endoplasmic reticulum","105336785/105328488/105331513/105325010/105318855/105325130/105335023/105330973/105322320/105337306/105340370/105326395/105319990",13,"105319990","dnaJ homolog subfamily A member 1"
"9","crg:105321705","crg03013","RNA transport","105347464/105336042/105338957/105331448/105330153/105339039/109617380/105343479/105317347/105321705/105331595/105328593/105331793/105344597/105322817/105342933/105339951/105319209/105345876",19,"105321705","TAR DNA-binding protein 43"
"10","crg:105322320","crg04141","Protein processing in endoplasmic reticulum","105336785/105328488/105331513/105325010/105318855/105325130/105335023/105330973/105322320/105337306/105340370/105326395/105319990",13,"105322320","protein disulfide-isomerase A4 isoform X1"
