"","geneSymbol","Genes","shared"
"1","PGEN_.00g001320",NA,"True"
"2","PGEN_.00g001960","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)","True"
"3","PGEN_.00g012070","Serum amyloid A protein (SAA)","True"
"4","PGEN_.00g030500","Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1)","True"
"5","PGEN_.00g034140","Transcription factor MafK","True"
"6","PGEN_.00g043410","Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]","True"
"7","PGEN_.00g050060",NA,"True"
"8","PGEN_.00g051370","Coiled-coil domain-containing protein 6","True"
"9","PGEN_.00g057280",NA,"True"
"10","PGEN_.00g058530","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]","True"
"11","PGEN_.00g064210","Probable G-protein coupled receptor 158","True"
"12","PGEN_.00g067330","Synaptotagmin-like protein 5","True"
"13","PGEN_.00g077330","Anoctamin-4 (Transmembrane protein 16D)","True"
"14","PGEN_.00g093280","Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)","True"
"15","PGEN_.00g093560","Glutaredoxin domain-containing cysteine-rich protein CG31559","True"
"16","PGEN_.00g103390",NA,"True"
"17","PGEN_.00g109150","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)","True"
"18","PGEN_.00g112680",NA,"True"
