"","Gene","Gene_Description","AA","AM","AS","MA","MM","MS","foldChangeRatioModerate","ControlRatioModerate","foldChangeRatioSevere","ControlRatioSevere","baseMeanNAIVE_control","baseMeanPRIMED_control","baseMeanNAIVE_foldChangeModerate","baseMeanPRIMED_foldChangeModerate","baseMeanNAIVE_foldChangeSevere","baseMeanPRIMED_foldChangeSevere","Frontloaded_Moderate","Frontloaded_Severe","Shared"
"1","PGEN_.00g000320",NA,42.1207737654816,47.1534959020935,53.0900989615561,90.8504665807335,47.3921450896506,64.5928828301389,0.465973961049854,2.15690402760802,0.564079493341854,2.15690402760802,42.1207737654816,90.8504665807335,1.11948313591372,0.521649991170227,1.2604255386463,0.710980199234739,"frontloaded","frontloaded","True"
"2","PGEN_.00g000960","Histone-binding protein N1/N2",39.2206267996487,44.0793645336639,48.7423888018337,50.7086110223982,54.0116805135587,55.794842414502,0.947731204861186,1.29290669630125,0.88536033433649,1.29290669630125,39.2206267996487,50.7086110223982,1.1238822051171,1.06513823637767,1.24277434552041,1.10030311005476,"frontloaded","frontloaded","True"
"3","PGEN_.00g001320",NA,15.599323506718,15.9609080565683,14.6476967106182,22.4462605560911,22.1102679634315,24.2196695523509,0.962715967550197,1.43892525508715,NA,NA,15.599323506718,22.4462605560911,1.02317950196332,0.985031244210143,0.938995636849896,1.07900687920058,"frontloaded","high expression relative to naive","False"
"4","PGEN_.00g001920","F-BAR domain only protein 2",91.0648712488071,110.698771772167,98.862493098987,105.334695336403,117.380027208432,125.492778415023,0.916707612820638,1.15669954716796,1.09740418207792,1.15669954716796,91.0648712488071,105.334695336403,1.21560345118939,1.11435293787635,1.08562711112692,1.19137173192784,"frontloaded","high expression relative to naive","False"
"5","PGEN_.00g001960","Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)",29.2122805549009,33.0628778667779,29.7223116106452,42.3040663471121,37.2637098115789,35.2883296846657,0.778267302425107,1.44816034707071,0.819845217430432,1.44816034707071,29.2122805549009,42.3040663471121,1.13181433420237,0.880854088725744,1.0174594740998,0.834159283770002,"frontloaded","frontloaded","True"
"6","PGEN_.00g002400","E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)",25.7860837801139,23.043726892665,20.0851613802633,25.5732710631794,22.925851937737,23.6708401070149,NA,NA,NA,NA,25.7860837801139,25.5732710631794,0.893649733288939,0.8964771022486,0.778914764705484,0.92560861880107,"high expression relative to naive","high expression relative to naive","False"
"7","PGEN_.00g003480","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)",22.1517340563247,27.0433141433254,26.1853893655691,28.7475388546215,33.3047374725034,30.0220665204466,0.948971480526836,1.29775568727603,0.883463488913271,1.29775568727603,22.1517340563247,28.7475388546215,1.22082154266402,1.15852482680093,1.1820920790665,1.04433519238883,"frontloaded","frontloaded","True"
"8","PGEN_.00g003510",NA,29.8767382234335,27.5351579915636,25.6038538893539,35.4928092128682,38.6992291411521,32.187764875035,NA,NA,NA,NA,29.8767382234335,35.4928092128682,0.921625305468144,1.09033998715214,0.856982904153568,0.906881297616902,"high expression relative to naive","high expression relative to naive","False"
"9","PGEN_.00g004670","Ribonucleoprotein PTB-binding 2 (Protein raver-2)",68.9765553069873,65.0020176325983,60.0463665857436,67.6014568433437,65.3149907517187,78.6508058966624,NA,NA,NA,NA,68.9765553069873,67.6014568433437,0.942378426166689,0.96617726601775,0.870532984990349,1.16344838660687,"high expression relative to naive","high expression relative to naive","False"
"10","PGEN_.00g006290","Helicase with zinc finger domain 2 (ATP-dependent helicase PRIC285) (Helicase with zinc finger 2, transcriptional coactivator) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein) (EC 3.6.4.-)",111.803621840488,105.118661123334,96.1464815736609,118.855221369892,125.891604956372,127.469060235322,NA,NA,NA,NA,111.803621840488,118.855221369892,0.940208012879117,1.05920129974418,0.859958559400108,1.07247337362338,"high expression relative to naive","high expression relative to naive","False"
