"","Gene","log2FoldChange","padj","Day_treatment","Treatment","Pairwise","Uniprot","Gene_terms_EC"
"1","PGEN_.00g002290",5.1777879821056,0.0372008120708975,"Day21","Primary","AvM","Q71R50","Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)"
"2","PGEN_.00g003510",-3.02332447556268,0.0151966189636416,"Day21","Primary","AvM",NA,NA
"3","PGEN_.00g003940",4.24599422426381,0.0446323820660572,"Day21","Primary","AvM","Q2PFX5","Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)"
"4","PGEN_.00g007040",5.6178663015121,0.0227401472692053,"Day21","Primary","AvM","P86854","Perlucin-like protein"
"5","PGEN_.00g009920",8.23681328819072,0.0279940185305525,"Day21","Primary","AvM",NA,NA
"6","PGEN_.00g009930",7.9561523999012,0.0171598902576782,"Day21","Primary","AvM","Q5G266","Neurotrypsin (EC 3.4.21.-) (Serine protease 12)"
"7","PGEN_.00g013400",-1.53512389225822,0.0206999766604056,"Day21","Primary","AvM","Q8TBE0","Bromo adjacent homology domain-containing 1 protein (BAH domain-containing protein 1)"
"8","PGEN_.00g015030",2.44594759904764,0.0175608712254789,"Day21","Primary","AvM","O55096","Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)"
"9","PGEN_.00g015870",-1.53164893378486,0.0321311612195352,"Day21","Primary","AvM","Q00963","Spectrin beta chain"
"10","PGEN_.00g017130",-2.88452337623814,0.0264747960827852,"Day21","Primary","AvM","Q3U1U7","Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR)"
"11","PGEN_.00g020410",-2.77835172592961,0.0351796863900838,"Day21","Primary","AvM","Q9UPU9","Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A)"
"12","PGEN_.00g027970",5.08380624512367,0.0176733006509247,"Day21","Primary","AvM",NA,NA
"13","PGEN_.00g029510",-3.85261685241532,0.0285921767375845,"Day21","Primary","AvM","P55083","Microfibril-associated glycoprotein 4"
"14","PGEN_.00g033640",7.58548826538643,0.00589161247280517,"Day21","Primary","AvM","P03952","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"15","PGEN_.00g037730",-11.4458870613213,0.00023304257879057,"Day21","Primary","AvM","A6H8I2","Small G protein signaling modulator 3 homolog (RUN and TBC1 domain-containing protein 3)"
"16","PGEN_.00g048440",6.65303347234177,0.0265625714954777,"Day21","Primary","AvM",NA,NA
"17","PGEN_.00g048610",-2.0966068431026,0.025847635617302,"Day21","Primary","AvM","Q6AY09","Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]"
"18","PGEN_.00g049840",5.75182754523503,0.0290187728593708,"Day21","Primary","AvM","Q64230","Meprin A subunit alpha (EC 3.4.24.18) (Endopeptidase-2) (Endopeptidase-24.18 subunit alpha) (E-24.18) (MEP-1)"
"19","PGEN_.00g050250",5.35350348490508,0.00525675797044021,"Day21","Primary","AvM","G3V8Y7","AP-4 complex accessory subunit Tepsin (ENTH domain-containing protein 2) (Tetra-epsin)"
"20","PGEN_.00g053420",-6.89240678238378,0.0446323820660572,"Day21","Primary","AvM","Q7Z0T3","Temptin"
"21","PGEN_.00g054550",-2.95890499935407,0.0480254244868758,"Day21","Primary","AvM",NA,NA
"22","PGEN_.00g056330",6.23940815267022,0.0191555980166102,"Day21","Primary","AvM","O88204","Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (rLRp105)"
"23","PGEN_.00g057130",6.39521724643573,0.0183754293192608,"Day21","Primary","AvM","Q95M17","Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)"
"24","PGEN_.00g057170",7.65664530492714,0.0150783766709028,"Day21","Primary","AvM","P14272","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"25","PGEN_.00g057190",8.47068231557897,0.000335838386743119,"Day21","Primary","AvM","P03952","Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"
"26","PGEN_.00g057310",6.87423246059385,0.000881596285629061,"Day21","Primary","AvM","P82968","Four-domain proteases inhibitor (McaPI)"
"27","PGEN_.00g059680",6.67085115667801,0.0117443839015285,"Day21","Primary","AvM",NA,NA
"28","PGEN_.00g059780",-2.72958933321098,0.0372008120708975,"Day21","Primary","AvM","Q8K363","ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18)"
"29","PGEN_.00g061690",9.0476171067527,0.00163182285895666,"Day21","Primary","AvM",NA,NA
"30","PGEN_.00g062480",10.4258547224177,9.46514135773485e-05,"Day21","Primary","AvM","E9Q555","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)"
"31","PGEN_.00g064390",6.98347901287814,0.0185104227221143,"Day21","Primary","AvM","Q0Q029","Putative defense protein 1 (DFP-1)"
"32","PGEN_.00g068640",-4.43311630632463,0.0446323820660572,"Day21","Primary","AvM","Q874B9","Elongation factor 2 (EF-2)"
"33","PGEN_.00g074890",4.0040951366921,0.0217901191192846,"Day21","Primary","AvM","Q9UTA8","Uncharacterized methyltransferase-like C25B8.10 (EC 2.1.1.-)"
"34","PGEN_.00g076210",4.59701405996089,0.00876073276564717,"Day21","Primary","AvM",NA,NA
"35","PGEN_.00g078540",7.16048559515214,0.0348323299492029,"Day21","Primary","AvM","A6H584","Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain)"
"36","PGEN_.00g079020",3.09206541324501,0.0117066325255598,"Day21","Primary","AvM","Q9ULJ7","Ankyrin repeat domain-containing protein 50"
"37","PGEN_.00g085800",4.69732769553373,0.0101979719581268,"Day21","Primary","AvM","P74615","Uncharacterized protein sll1483"
"38","PGEN_.00g087530",8.9714930042023,0.00268856314054817,"Day21","Primary","AvM","F7J220","Scavenger receptor cysteine-rich domain superfamily protein (ApSRCR1)"
"39","PGEN_.00g090200",3.47967024046583,0.0289798168174003,"Day21","Primary","AvM",NA,NA
"40","PGEN_.00g092260",-10.9826423308761,0.0351796863900838,"Day21","Primary","AvM","Q6YHK3","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"41","PGEN_.00g092270",-9.11015100450401,0.000400580942965157,"Day21","Primary","AvM","Q6YHK3","CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)"
"42","PGEN_.00g093630",-3.64745340094085,0.00377803729887109,"Day21","Primary","AvM",NA,NA
"43","PGEN_.00g094980",3.96761042480922,0.032161245433618,"Day21","Primary","AvM","Q8BLF1","Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1) (Chlorpyrifos oxon-binding protein) (CPO-BP)"
"44","PGEN_.00g096560",7.84226597166469,1.21278465968559e-05,"Day21","Primary","AvM","Q53G44","Interferon-induced protein 44-like"
"45","PGEN_.00g097890",-6.21367155408019,0.0168273072343713,"Day21","Primary","AvM",NA,NA
"46","PGEN_.00g098070",-6.78019174919739,0.00517386502296705,"Day21","Primary","AvM",NA,NA
"47","PGEN_.00g101430",-13.079699159395,0.000590288876733016,"Day21","Primary","AvM",NA,NA
"48","PGEN_.00g108630",-22.9653929606851,0.0295023423549472,"Day21","Primary","AvM","Q5ZL67","Endoplasmic reticulum membrane sensor NFE2L1 (Nuclear factor erythroid 2-related factor 1) (NF-E2-related factor 1) (NFE2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) [Cleaved into: Transcription factor NRF1]"
"49","PGEN_.00g112080",2.38481300676137,0.0416047267478515,"Day21","Primary","AvM","Q6ZSM3","Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12)"
"50","PGEN_.00g115560",6.01233984138588,0.00517386502296705,"Day21","Primary","AvM",NA,NA
"51","PGEN_.00g116940",6.33796831993737,0.030941027707916,"Day21","Primary","AvM","G9JJU2","Glutathione peroxidase (PcGPx) (Se-PcGPx) (EC 1.11.1.9)"
"52","PGEN_.00g117550",10.8256095791865,0.00166794745282276,"Day21","Primary","AvM",NA,NA
"53","PGEN_.00g117570",11.0377415812149,0.0145455141996355,"Day21","Primary","AvM",NA,NA
